compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,provenance_file,provenance_sheet,provenance_row
15,3-acetyl-8-bromo-5-chloro-2-((2-methoxyphenyl)sulfinyl)quinolin-4(1H)-one,454.72,454,"¹H NMR (300 MHz, CDCl3)δ7.84(d,J = 8.4 Hz, 1H), 7.383 (d, J = 8.4 Hz, 1H),7.53 (m, 1H), 7.415 (m, 1H), 6.949 (s, 1H), 6.956 (s, 1H), 3.86 (s, 3H), 2.634 (s, 3H)",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,17
16,3-acetyl-8-bromo-2-((4-bromophenyl)thio)-5-chloroquinolin-4(1H)-one,487.59,486,"¹H NMR (300 MHz, CDCl3) δ8.30(s,1H),7.779(d,J=8.4Hz, 2H), 7.614(d, J=8.46Hz, 2H), 7.541(d, J=8.4Hz, 1H), 7.183(d, J=8.46Hz, 1H), 2.77(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,18
17,3-acetyl-8-bromo-2-((4-bromophenyl)sulfinyl)-5-chloroquinolin-4(1H)-one,503.59,502,"¹H NMR (300 MHz, CDCl3) δ11.37(s,1H),7.84-7.81(d,J=8.46 Hz, 1H), 7.73-7.70(d, J=8.73 Hz, 2H), 7.60-7.57(d, J=8.67 Hz, 2H), 7.39-7.38(d, J=8.43 Hz, 1H), 2.70(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,19
18,"1,1'-(8-bromo-5-chloro-2-(methylthio)-4-oxoquinoline-1,3(4H)-diyl)bis(ethan-1-one)",388.66,388,"¹H NMR (300 MHz, MeOD) δ 7.84 (d, J=8.25, 1H), 7.19(d, J=8.25, 1H), 2.72(s, dH), 2.57(s, 3H), 2.18(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,20
19,"1,1'-(8-bromo-5-chloro-2-(methylsulfinyl)-4-oxoquinoline-1,3(4H)-diyl)bis(ethan-1-one)",404.66,404,"¹H NMR(300MHz,CDCl3)δ 8.07(m,1H),7.60(m,1H),3.03(s,3H),3.02 (s,3H),2.78(s,3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,21
20,3-acetyl-2-(benzylsulfinyl)-8-bromo-1-(4-bromobenzoyl)-5-chloroquinolin-4(1H)-one,621.72,620,"¹H NMR (300 MHz, (CD3)2CO) δ7.96-7.93(d,J=8.22 Hz, 1H), 7.73-7.60(m, 7H), 7.45-7.42(d, J=8.25 Hz, 2H), 7.16-7.13(d, J=8.19 Hz, 1H), 2.86(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,22
21,3-acetyl-8-bromo-1-(4-bromobenzoyl)-5-chloro-2-(methylsulfonyl)quinolin-4(1H)-one,561.63,560,"¹H NMR (300 MHz, CDCl3)δ8.10(d,J=8.22 Hz, 1H), 8.03-7.67 (dd, J=8.61, 88.8 Hz, 4H), 7.60(J=8.22 Hz, 1H), 3.53(s, 3H), 2.67(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,23
22,3-acetyl-8-bromo-5-chloro-1-(3-chloro-4-fluorobenzyl)-2-(methylsulfinyl)quinolin-4(1H)-one,505.18,504,"¹H NMR(300MHz,CDCl3)δ7.42- 7.37(m,2H),7.24- 7.09(m,3H),4.49(s,2H),3.44(s,3H),2.14 (s,3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,24
23,3-acetyl-2-(benzylthio)-8-bromo-1-(4-bromobenzoyl)-5-chloroquinolin-4(1H)-one,605.73,604,"¹H NMR (300 MHz, CDCl3) δ8.06-8.03(d,J=8.28 Hz, 1H), 7.93-7.91(d, J= 8.64 Hz, 2H), 7.71-7.68(d, 8.64 Hz, 2H), 7.54-7.51(d, J=7.02 Hz, 2H), 7.49-7.46(d, J=8.25 Hz, 1H), 7.30-7.27(d, J=7.33 Hz, 2H), 6.97(s, 1H), 4.71(s, 2H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,25
24,3-acetyl-8-bromo-5-chloro-2-(isopropylthio)quinolin-4(1H)-one,374.68,374,"¹H NMR (300 MHz, CDCl3) δ16.32(s,1H),7.77-7.86(d,J=8.13 Hz, 1H), 7.26-7.23(d, J=8.61 HZ, 1H), 4.54-4.45(m, 1H), 2.94(s, 3H), 1.54-1.51(m, 6H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,26
25,3-acetyl-8-bromo-5-chloro-2-(isopropylsulfinyl)quinolin-4(1H)-one,390.68,390,"¹H NMR (300 MHz, CDCl3) δ10.99(s,1H),7.80-7.77(d,J=8.37 Hz, 1H), 7.36-7.34(d, J=8.4 Hz, 1H), 3.61-3.51(m, 1H), 2.77(s, 3H), 1.63-1.61(d, J=7.12 Hz, 3H), 1.01-0.99(d, J=6.78 Hz, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,27
26,3-acetyl-8-bromo-5-chloro-2-((1-phenylethyl)sulfinyl)quinolin-4(1H)-one,452.75,452,"¹H NMR (300 MHz, CDCl3) δ11.06(br,1H),7.82(d,J= 8.4 Hz, 1H), 7.60-7.65 (m, 2H), 7.41-7.50 (m, 3H), 7.38 (d, J= 8.5 Hz, 1H), 4.72 (q, J= 7.3 Hz, 1H), 2.84 (s, 3H), 1.42 (d, J= 7.1 Hz, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,28
27,"3-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)thio)methyl)benzonitrile",447.73,447,"¹H NMR (300 MHz, CDCl3)δ7.92(d,J= 8.3 Hz, 1H), 7.83 (s, 1H), 7.76 (d, J= 7.9 Hz, 1H), 7.55 (d, J= 7.7 Hz, 1H), 7.42 (t, J= 7.8 Hz, 1H), 7.32 (d, J= 8.3 Hz, 1H), 4.82 (s, 2H), 2.94 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,29
28,"3-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",463.73,463,"¹H NMR (300 MHz, CDCl3) δ10.27(br,1H),7.72(d,J= 8.5 Hz, 1H), 7.53-7.57 (m, 1H), 7.27-7.40 (m, 2H), 4.59 4.22 (m, 2H), 2.85 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,30
29,"3-acetyl-8-bromo-5-chloro-2-((2,4-difluorobenzyl)sulfinyl)quinolin-4(1H)-one",474.7,474,"¹H NMR (300 MHz, CDCl3) δ10.34(br,1H),7.74(d,J= 8.4 Hz, 1H), 7.35 (d, J= 8.4 Hz, 1H), 7.20-7.28 (m, 1H), 6.81-6.87 (m, 1H), 6.60-6.75 (m, 1H), 4.53 (dd, J= 48.9, 13.2 Hz, 2H), 2.85 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,31
30,3-acetyl-8-bromo-5-chloro-2-((3-chloro-4-fluorobenzyl)thio)quinolin-4(1H)-one,475.15,474,"¹H NMR (300 MHz, CDCl3)δ7.92(d,J= 8.3 Hz, 1H), 7.83 (s, 1H), 7.76 (d, J= 7.9 Hz, 1H), 7.55 (d, J= 7.7 Hz, 1H), 7.42 (t, J= 7.8 Hz, 1H), 7.32 (d, J= 8.3 Hz, 1H), 4.82 (s, 2H), 2.94 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,32
31,3-acetyl-8-bromo-5-chloro-2-((3-chloro-4-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,491.15,490,"¹H NMR (300 MHz, CDCl3) δ10.27(br,1H),7.73(d,J= 8.4 Hz, 1H), 7.33 (d, J= 8.4 Hz, 1H), 7.22-7.24 (m, 1H), 6.95-6.98 (m, 2H), 4.33 (q, J= 12.8 Hz, 2H), 2.84 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,33
32,3-acetyl-8-bromo-5-chloro-2-((4-nitrobenzyl)thio)quinolin-4(1H)-one,467.72,467,"¹H NMR (300 MHz, CDCl3)δ8.16(d,J= 8.6 Hz, 2H), 7.92 (d, J= 8.3 Hz, 1H), 7.69 (d, J= 8.6 Hz, 2H), 7.32 (d, J= 8.2 Hz, 1H), 4.90 (s, 2H), 2.94 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,34
33,3-acetyl-8-bromo-5-chloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one,483.72,483,"¹H NMR (300 MHz, CDCl3) δ10.23(br,1H),8.08(d,J= 8.7 Hz, 2H), 7.70 (d, J= 8.4 Hz, 1H), 7.34 (dd, J= 8.5, 3.9 Hz, 3H), 4.49 (dd, J= 27.8, 12.6 Hz, 2H), 2.85 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,35
34,3-acetyl-2-(benzylsulfonyl)-8-bromo-5-chloroquinolin-4(1H)-one,454.72,454,"¹H NMR (300 MHz, CDCl3) δ10.25(s,1H),7.66(d,J=8.46 Hz, 1H), 7.28(d, J=8.43 Hz, 1H), 7.20-7.08(m, 5H), 4.41(d, J=3, 2H), 2.84(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,36
35,3-acetyl-8-bromo-5-chloro-1-(methylsulfonyl)-2-(methylthio)quinolin-4(1H)-one,424.71,424,"¹H NMR (300 MHz, CDCl3)δ7.96(d,J=8.25 Hz, 1H), 7.42(d, J=8.28 Hz, 1H), 3.30(s, 3H), 2.76(s, 3H), 2.73(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,37
36,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)-1-((trifluoromethyl)sulfonyl)quinolin-4(1H)-one,494.68,494,"¹H NMR (300 MHz, CDCl3) δ8.08-8.05(d,J=8.22 Hz, 1H), 7.69-7.65(d, J=8.25 Hz, 1H), 3.11(s, 3H), 2.78(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,38
37,3-acetyl-8-bromo-5-chloro-1-((4-chlorophenyl)sulfonyl)-2-(methylthio)quinolin-4(1H)-one,521.22,520,"¹H NMR (300 MHz, CDCl3) δ7.93-7.91(d,J=8.22 Hz, 1H), 7.74-7.71(d, J=8.7 Hz, 2H), 7.50-7.47(d, J=8.61 Hz, 2H), 7.32-7.30(d, J=8.25 Hz, 1H), 2.71(s, 3H), 2.62(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,39
38,3-acetyl-8-bromo-5-chloro-2-(methylthio)-1-((4-nitrophenyl)sulfonyl)quinolin-4(1H)-one,531.78,531,"¹H NMR (300 MHz, CDCl3) δ8.39-8.36(d,J=8.85 Hz, 2H), 8.03-8.00(d, J=8.85, 2H), 7.96-9.93 (d, J=8.22 Hz, 1H), 7.35-7.32(d, J=8.22 Hz, 1H), 2.74(s, 3H), 2.62(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,40
39,3-acetyl-8-bromo-5-chloro-1-(ethylsulfonyl)-2-(methylsulfinyl)quinolin-4(1H)-one,454.73,454,"¹H NMR (300 MHz, CDCl3) δ7.96-7.93(d,J=8.23 Hz, 1H), 7.42-7.39(d, J=8.16 Hz, 1H), 3.54-3.46(q, J=7.41, 7.5 Hz, 2H), 2.76(s, 3H), 2.73(s, 3H), 1.58-1.53(t, J=7.38,7.44, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,41
40,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylthio)quinolin-4(1H)-one,542.89,542,"¹H NMR (300 MHz, CDCl3) δ7.88-7.85(d,J=8.16 Hz, 1H), 7.69-7.66(d, J=8.67 Hz, 2H), 7.47-7.44(d, J=8.7 Hz, 2H), 7.25-7.23(d, J = 8.13 Hz, 1H), 2.71(s, 3H), 2.63(s, 3H), 1.33 (s, 9H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,42
41,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfonyl)quinolin-4(1H)-one,574.89,574,"¹H NMR (300 MHz, CDCl3) δ8.10-8.07(d,J=8.22 Hz, 1H), 7.80-7.78(d, J=8.64 Hz, 2H), 7.62-7.59(d, J=8.25 Hz, 1H), 7.58-7.55(d, J = 8.64 Hz, 2H), 3.48(s, 3H), 2.71(s, 3H), 1.37(s, 9H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,43
42,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,558.89,558,"¹H NMR (300 MHz, CDCl3) δ8.05-8.03(d,J=8.16 Hz, 1H), 7.71-7.68(d, J=8.64 Hz, 2H), 7.52-7.49(d, J=8.28 Hz, 3H), 3.13(s, 3H), 2.69(s, 3H), 1.35(s, 9H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,44
43,"3-acetyl-8-bromo-5-chloro-2-((2,5-dichlorobenzyl)thio)quinolin-4(1H)-one",507.6,506,"¹H NMR (300 MHz, CDCl3) δ10.35(s,1H),7.73-7.72(d,J=10.86 Hz, 1H), 7.32(s, 2H), 7.17(s, 2H), 4.81-4.49(dd, J= 13.33, 69.53 Hz, 2H), 2.81(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,45
44,"3-acetyl-8-bromo-5-chloro-2-((2,5-dichlorobenzyl)sulfinyl)quinolin-4(1H)-one",507.6,506,"¹H NMR (300 MHz, CDCl3) δ10.35(s,1H),7.73-7.72(d,J=10.86 Hz, 1H), 7.32(s, 2H), 7.17(s, 2H), 4.81-4.49(dd, J= 13.33, 69.53 Hz, 2H), 2.81(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,46
45,"3-acetyl-8-bromo-5-chloro-2-((3,5-difluorobenzyl)thio)quinolin-4(1H)-one",458.7,458,"¹H NMR (300 MHz, CDCl3) δ7.93-7.91(d,J=8.28 Hz, 1H), 7.33-7.30(d, J=8.28 Hz, 1H), 7.06-7.04(m, 3H), 4.78(s, 2H), 2.94(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,47
46,"3-acetyl-8-bromo-5-chloro-2-((3,5-difluorobenzyl)sulfinyl)quinolin-4(1H)-one",474.7,474,"¹H NMR (300 MHz, CDCl3) δ10.43(s,1H),7.75-7.72(d,J= 8.4 Hz, 1H), 7.35-7.32(d. J= 8.46 Hz, 1H), 6.80-6.68(m, 3H), 4.44-4.23(q, J= 12.63, 36.84 Hz, 2H), 2.84(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,48
47,3-acetyl-8-bromo-5-chloro-2-((3-iodobenzyl)thio)quinolin-4(1H)-one,548.62,548,"¹H NMR (300 MHz, DMSO) δ 7.97-7.94(d,J= 5.55 Hz, 1H), 7.89(s, 1H), 7.61-7.58(d, J=8.16 Hz, 1H), 7.49-7.46(d, J= 7.11 Hz, 1H), 7.31-7.29(m, 1H), 7.13-7.80(t, J= 7.76 Hz, 1H), 4.55(s, 2H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,49
48,3-acetyl-8-bromo-5-chloro-2-((3-iodobenzyl)sulfinyl)quinolin-4(1H)-one,564.62,564,"¹H NMR (300 MHz, CDCl3) δ10.19(s,1H),7.74-7.71(d,J=8.46 Hz, 1H), 7.56-7.54(d, J=8.07 Hz, 1H), 7.39(s, 1H), 7.35-7.32(d, J=8.46 Hz, 1H), 7.09-7.07(d, J=8.01 Hz, 1H), 6.97-6.92(t, J= 7.74 Hz, 1H), 4.40-4.30(q, J=12.71, 6.06 Hz, 2H), 2.87(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,50
49,3-acetyl-8-bromo-5-chloro-2-((3-fluorobenzyl)thio)quinolin-4(1H)-one,440.71,440,"¹H NMR (300 MHz, CDCl3)δ7.93-7.91(d,J= 8.25 Hz, 1H), 7.32-7.30(d, J= 8.19 Hz, 2H), 7.28-7.27(m, 2H), 6.97(s, 1H), 4.79(s, 2H), 2.94(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,51
50,3-acetyl-8-bromo-5-chloro-2-((3-fluorobenzyl)sulfinyl)quinolin-4(1H)-one,456.71,456,"¹H NMR (300 MHz, CDCl3) δ10.30(s,1H),7.70-7.67(d,J=8.56 Hz, 1H), 7.30-7.27(d, J=8.43 Hz, 1H), 7.15-7.07(m, 1H), 6.98-6.88(m, 2H), 6.83-6.81(d, J=7.68 Hz, 1H), 4.42-4.32(q, J=12.66, 3.33 Hz, 2H), 2.82(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,52
51,3-acetyl-8-bromo-5-chloro-2-(((5-methylisoxazol-3-yl)methyl)sulfinyl)quinolin-4(1H)-one,443.7,442,"¹H NMR (300 MHz, CDCl3) δ10.50(br,1H),7.77(d,J= 8.4 Hz, 1H), 7.36 (d, J= 8.4 Hz, 1H), 6.17 (s, 1H), 4.33-4.67 (m, 2H), 2.83 (s, 3H), 2.39 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,53
52,1-(2-(benzylthio)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,422.72,422,"¹H NMR (300 MHz, CDCl3)δ7.82(d,J= 8.2 Hz, 1H), 7.53 (d, J= 6.8 Hz, 2H), 7.32-7.48 (m, 3H), 7.26 (d, J= 8.4 Hz, 1H), 6.77 (s, 2H), 5.24 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,54
53,1-(2-(benzylsulfinyl)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,438.72,438,"¹H NMR (300 MHz, CDCl3)δ7.99(d,J= 8.2 Hz, 1H), 7.60 (s, 1H), 7.54-7.57 (m, 2H), 7.51 (d, J= 8.2 Hz, 1H), 7.37-7.48 (m, 3H), 5.39 (s, 2H), 3.48 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,55
54,1-(2-(benzylsulfonyl)-8-bromo-5-chloro-4-hydroxyquinolin-3-yl)ethan-1-one,454.72,454,"¹H NMR (300 MHz, CDCl3)δ7.94(d,J= 8.2 Hz, 1H), 7.73 (s, 1H), 7.54-7.58 (m, 2H), 7.45 (d, J= 8.1 Hz, 2H), 7.38-7.41 (m, 2H), 5.42 (s, 2H), 3.01 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,56
55,3-acetyl-8-bromo-5-chloro-2-((3-methoxybenzyl)sulfinyl)quinolin-4(1H)-one,468.75,468,"¹H NMR (300 MHz, CDCl3) δ10.32(s,1H),7.71-7.69(d,J=8.4 Hz, 1H), 7.33-7.30(d, J=8.43, 1H), 7.09-7.04(t, J=7.8 Hz,1H), 6.76-6.70(m, 2H), 6.65-6.63(d, J=7.47 Hz, 1H), 4.44-4.34(q, J=12.7, 4.86 Hz, 2H), 3.70(s, 3H), 2.86(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,57
56,3-acetyl-8-bromo-5-chloro-2-((4-((trifluoromethyl)thio)benzyl)sulfinyl)quinolin-4(1H)-one,538.78,538,"¹H NMR (300 MHz, CDCl3) δ10.27(s,1H),7.69-7.66(d,J=8.40 Hz, 1H), 7.49-7.46(d, J=8.01 Hz, 2H), 7.31-7.28(d, J=8.40 Hz, 1H), 7.18-7.15(d, J=8.16 Hz, 2H), 4.52-4.37(q, J=12.7, 17.1 Hz, 2H), 2.84(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,58
57,"3-acetyl-5,8-dichloro-2-((4-nitrobenzyl)sulfinyl)quinolin-4(1H)-one",439.26,439,"¹H NMR (300 MHz, MeOD) δ9.95(s, 1H), 8.22-8.20(d, J=8.6 Hz, 2H), 7.73-7.70(d, J=8.31 Hz, 2H), 7.63-7.60(d, J=8.22 Hz,1H), 7.29-7.26(d, J=8.13 Hz, 1H), 4.59-4.10(q, J=12.3, 122 Hz, 2H), 2.72(s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,59
58,"2-(((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)methyl)benzonitrile",463.73,463,"¹H NMR (300 MHz, CDCl3) δ10.30(br,1H),7.69(d,J= 8.4 Hz, 1H), 7.47 - 7.61 (m, 2H), 7.34 - 7.45 (m, 2H), 7.31 (d, J= 8.4 Hz, 1H), 4.71 (q, J= 13.1 Hz, 2H), 2.85 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,60
59,"3-acetyl-8-bromo-5-chloro-2-((3,5-dimethoxybenzyl)sulfinyl)quinolin-4(1H)-one",498.77,498,"¹H NMR (300 MHz, CDCl3) δ10.36(s,1H),7.69(d,J= 8.4 Hz, 1H), 7.30 (d, J= 8.4 Hz, 1H), 6.23 (s, 3H), 4.25-4.39 (m, 2H), 3.62 (s, 6H), 2.83 (s, 3H).",False,False,../base/data/bronze/artifacts/2017_raw.xlsx,표4,61
