Unnamed_0,자궁경부암,난소암,신장암,유두종(papilloma),Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
62.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
63.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
64.0,> 10 μM,0.90 μM,> 2 μM,> 10 μM,,,,,
65.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
66.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
67.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
68.0,> 2 μM,1.16 μM,> 2 μM,> 10 μM,,,,,
69.0,> 10 μM,1.13 μM,> 2 μM,> 10 μM,,,,,
70.0,> 10 μM,1.18 μM,> 2 μM,> 10 μM,,,,,
71.0,> 10 μM,1.31 μM,> 2 μM,> 10 μM,,,,,
72.0,> 2 μM,0.73 μM,> 2 μM,> 10 μM,,,,,
73.0,> 10 μM,1.11 μM,> 2 μM,> 10 μM,,,,,
74.0,> 10 μM,0.98 μM,> 2 μM,> 10 μM,,,,,
75.0,> 10 μM,1.36 μM,> 2 μM,> 10 μM,,,,,
76.0,> 10 μM,1.46 μM,> 2 μM,> 10 μM,,,,,
77.0,> 10 μM,1.13 μM,> 2 μM,> 10 μM,,,,,
78.0,> 10 μM,1.01 μM,> 2 μM,> 10 μM,,,,,
79.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
80.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
81.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
82.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
83.0,> 10 μM,0.82 μM,> 2 μM,> 10 μM,,,,,
84.0,> 10 μM,0.59 μM,1.3765,> 10 μM,,,,,
85.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
86.0,> 2 μM,0.38 μM,1.3337,> 10 μM,,,,,
87.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
88.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
89.0,> 10 μM,0.86 μM,> 2 μM,> 10 μM,,,,,
90.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
91.0,> 10 μM,1.74 μM,> 2 μM,> 10 μM,,,,,
92.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
93.0,> 10 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
94.0,> 10 μM,1.10 μM,> 2 μM,> 10 μM,,,,,
95.0,> 2 μM,0.38 μM,1.1911,> 10 μM,,,,,
96.0,> 2 μM,0.75 μM,1.6698,> 10 μM,,,,,
97.0,> 2 μM,0.59 μM,1.3287,> 10 μM,,,,,
98.0,> 2 μM,1.23 μM,1.8121,> 10 μM,,,,,
99.0,> 2 μM,0.63 μM,1.206,> 10 μM,,,,,
100.0,> 2 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
101.0,> 2 μM,1.99 μM,> 2 μM,> 10 μM,,,,,
102.0,> 2 μM,0.93 μM,1.6277,> 10 μM,,,,,
103.0,> 2 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
104.0,> 2 μM,0.84 μM,1.1984,> 10 μM,,,,,
105.0,> 2 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
106.0,> 2 μM,> 2 μM,> 2 μM,> 10 μM,,,,,
107.0,> 2 μM,> 2 μM,> 2 μM,> 10 μM,,,,,

--- Table Metadata for Table13 ---
Header Row (0-indexed in sheet): 889
Last Data Row (0-indexed in sheet): 997
Number of Data Rows (Length of Table): 108
