Unnamed_0,혈액암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
55.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.30 μM,> 2 μM,1.47 μM,
56.0,1.95 μM,1.75 μM,1.12 μM,1.86 μM,1.25 μM,1.06 μM,1.50 μM,1.66 μM,
57.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
58.0,0.87 μM,0.73 μM,0.94 μM,1.25 μM,1.98 μM,0.99 μM,0.97 μM,1.24 μM,
59.0,1.99 μM,> 2 μM,1.15 μM,> 2 μM,> 2 μM,1.01 μM,1.56 μM,1.38 μM,
60.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.27 μM,> 2 μM,1.63 μM,
61.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
62.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
63.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
64.0,1.50 μM,> 2 μM,1.09 μM,1.85 μM,> 2 μM,1.07 μM,1.12 μM,1.46 μM,
65.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
66.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
67.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
68.0,1.71 μM,> 2 μM,1.02 μM,1.66 μM,1.21 μM,1.00 μM,1.30 μM,1.07 μM,
69.0,1.88 μM,> 2 μM,1.11 μM,1.87 μM,1.43 μM,1.13 μM,1.47 μM,1.30 μM,
70.0,> 2 μM,> 2 μM,1.32 μM,1.90 μM,1.60 μM,1.09 μM,1.52 μM,1.31 μM,
71.0,> 2 μM,> 2 μM,1.65 μM,> 2 μM,> 2 μM,1.25 μM,> 2 μM,1.51 μM,
72.0,1.30 μM,0.97 μM,0.94 μM,1.37 μM,1.60 μM,0.78 μM,1.12 μM,1.05 μM,
73.0,1.60 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.31 μM,> 2 μM,
74.0,1.98 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.34 μM,1.71 μM,
75.0,> 2 μM,> 2 μM,1.16 μM,> 2 μM,1.26 μM,1.09 μM,> 2 μM,1.28 μM,
76.0,> 2 μM,> 2 μM,1.35 μM,> 2 μM,1.66 μM,1.20 μM,> 2 μM,1.62 μM,
77.0,> 2 μM,> 2 μM,1.33 μM,> 2 μM,1.42 μM,1.12 μM,> 2 μM,1.35 μM,
78.0,> 2 μM,> 2 μM,> 2 μM,1.98 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
79.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
80.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
81.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
82.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
83.0,> 2 μM,> 2 μM,1.75 μM,1.17 μM,1.22 μM,1.31 μM,> 2 μM,1.25 μM,
84.0,1.48 μM,1.48 μM,1.50 μM,1.00 μM,1.12 μM,0.98 μM,0.82 μM,0.97 μM,
85.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
86.0,1.38 μM,1.23 μM,0.82 μM,0.46 μM,0.65 μM,0.55 μM,0.71 μM,1.01 μM,
87.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
88.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
89.0,> 2 μM,> 2 μM,> 2 μM,1.71 μM,> 2 μM,1.38 μM,1.75 μM,> 2 μM,
90.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
91.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.73 μM,> 2 μM,> 2 μM,
92.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
93.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
94.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.38 μM,> 2 μM,
95.0,0.98 μM,1.06 μM,1.00 μM,0.52 μM,0.64 μM,0.29 μM,0.70 μM,1.01 μM,
96.0,1.65 μM,> 2 μM,1.66 μM,1.06 μM,1.37 μM,0.59 μM,1.16 μM,> 2 μM,
97.0,> 2 μM,1.35 μM,1.29 μM,0.70 μM,1.04 μM,0.51 μM,0.80 μM,0.77 μM,
98.0,> 2 μM,> 2 μM,> 2 μM,1.23 μM,1.47 μM,0.73 μM,1.24 μM,> 2 μM,
99.0,> 2 μM,1.36 μM,1.25 μM,0.84 μM,1.00 μM,0.44 μM,0.95 μM,0.73 μM,
100.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
101.0,> 2 μM,> 2 μM,1.79 μM,1.48 μM,1.04 μM,1.01 μM,> 2 μM,1.16 μM,
102.0,1.87 μM,> 2 μM,1.40 μM,0.98 μM,1.02 μM,> 2 μM,1.01 μM,0.94 μM,
103.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
104.0,> 2 μM,> 2 μM,1.44 μM,1.06 μM,1.15 μM,> 2 μM,0.95 μM,0.93 μM,
105.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
106.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
107.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,

--- Table Metadata for Table9 ---
Header Row (0-indexed in sheet): 445
Last Data Row (0-indexed in sheet): 553
Number of Data Rows (Length of Table): 108
