Unnamed_0,뇌암세포주,Unnamed_2,Unnamed_3,신경아세포종,흑색종,간암세포주,Unnamed_7,Unnamed_8,Unnamed_9
28.0,0.88 μM,> 10 μM,1.26 μM,> 2 μM,0.88 μM,0.76 μM,,,
29.0,1.14 μM,> 10 μM,1.38 μM,> 2 μM,1.24 μM,1.03 μM,,,
30.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
31.0,1.09 μM,> 10 μM,1.79 μM,> 2 μM,1.11 μM,0.89 μM,,,
32.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
33.0,1.11 μM,> 10 μM,> 2 μM,> 2 μM,1.13 μM,1.08 μM,,,
34.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.63 μM,1.72 μM,,,
35.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
36.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
37.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
38.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
39.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
40.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
41.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
42.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
43.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
44.0,1.05 μM,> 10 μM,> 2 μM,> 2 μM,1.64 μM,0.94 μM,,,
45.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
46.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.57 μM,1.31 μM,,,
47.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
48.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
49.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
50.0,1.28 μM,> 10 μM,> 2 μM,> 2 μM,1.51 μM,1.35 μM,,,
51.0,> 2 μM,> 10 μM,1.92 μM,> 2 μM,1.46 μM,1.31 μM,,,
52.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
53.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
54.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
55.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.62 μM,1.43 μM,,,
56.0,1.17 μM,> 10 μM,1.34 μM,> 2 μM,1.09 μM,1.02 μM,,,
57.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
58.0,0.84 μM,> 10 μM,1.46 μM,> 2 μM,0.88 μM,0.78 μM,,,
59.0,1.28 μM,> 10 μM,1.50 μM,> 2 μM,1.06 μM,0.91 μM,,,
60.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.67 μM,> 2 μM,,,
61.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
62.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
63.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
64.0,> 2 μM,> 10 μM,1.43 μM,> 2 μM,1.05 μM,0.87 μM,,,
65.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
66.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
67.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
68.0,0.93 μM,> 2 μM,1.14 μM,> 2 μM,0.96 μM,0.86 μM,,,
69.0,1.16 μM,> 10 μM,1.54 μM,> 2 μM,1.12 μM,1.04 μM,,,
70.0,1.14 μM,> 10 μM,1.52 μM,> 2 μM,1.19 μM,1.03 μM,,,
71.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.41 μM,1.18 μM,,,
72.0,1.07 μM,> 10 μM,1.18 μM,> 2 μM,0.92 μM,0.73 μM,,,
73.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.67 μM,1.42 μM,,,
74.0,> 2 μM,> 10 μM,1.44 μM,> 2 μM,1.26 μM,0.88 μM,,,
75.0,1.09 μM,> 10 μM,1.37 μM,> 2 μM,1.04 μM,1.03 μM,,,
76.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.37 μM,1.23 μM,,,
77.0,1.29 μM,> 2 μM,1.55 μM,> 2 μM,1.16 μM,1.09 μM,,,
78.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.37 μM,1.29 μM,,,
79.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
80.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
81.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,
82.0,> 2 μM,> 10 μM,> 2 μM,1.55 μM,> 2 μM,> 2 μM,,,
83.0,1.35 μM,> 2 μM,> 2 μM,1.24 μM,1.57 μM,1.51 μM,,,
84.0,> 2 μM,> 10 μM,> 2 μM,0.60 μM,1.45 μM,1.07 μM,,,
85.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
86.0,0.74 μM,> 10 μM,1.29 μM,0.50 μM,0.71 μM,1.00 μM,,,
87.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
88.0,> 2 μM,> 10 μM,> 10 μM,1.51 μM,> 2 μM,> 2 μM,,,
89.0,> 2 μM,> 10 μM,> 2 μM,1.04 μM,1.65 μM,1.59 μM,,,
90.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
91.0,> 2 μM,> 10 μM,> 2 μM,1.22 μM,> 2 μM,1.72 μM,,,
92.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
93.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
94.0,> 2 μM,> 10 μM,> 2 μM,1.76 μM,> 2 μM,> 2 μM,,,
95.0,0.61 μM,> 10 μM,1.01 μM,0.48 μM,0.54 μM,0.94 μM,,,
96.0,1.31 μM,> 10 μM,> 2 μM,0.77 μM,> 2 μM,1.96 μM,,,
97.0,1.12 μM,> 10 μM,1.69 μM,0.60 μM,1.03 μM,1.07 μM,,,
98.0,1.25 μM,> 10 μM,> 2 μM,0.83 μM,1.34 μM,1.20 μM,,,
99.0,0.79 μM,> 10 μM,1.16 μM,0.45 μM,0.87 μM,1.06 μM,,,
100.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
101.0,> 2 μM,> 10 μM,> 2 μM,1.40 μM,> 2 μM,> 2 μM,,,
102.0,> 2 μM,> 10 μM,1.24 μM,0.52 μM,0.86 μM,> 2 μM,,,
103.0,> 2 μM,> 10 μM,> 2 μM,1.01 μM,> 2 μM,> 2 μM,,,
104.0,> 2 μM,> 10 μM,1.47 μM,0.60 μM,0.88 μM,1.50 μM,,,
105.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,
106.0,> 2 μM,> 10 μM,> 10 μM,1.29 μM,> 2 μM,> 2 μM,,,
107.0,> 2 μM,> 10 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,,,

--- Table Metadata for Table12 ---
Header Row (0-indexed in sheet): 778
Last Data Row (0-indexed in sheet): 886
Number of Data Rows (Length of Table): 108
