Unnamed_0,폐암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
78.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,1.50 μM,> 2 μM,1.34 μM,1.81 μM,
79.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
80.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
81.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
82.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
83.0,> 2 μM,> 10 μM,> 2 μM,1.54 μM,1.75 μM,> 2 μM,1.25 μM,1.45 μM,
84.0,1.35 μM,> 10 μM,> 2 μM,1.48 μM,1.29 μM,> 2 μM,0.86 μM,1.05 μM,
85.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
86.0,1.09 μM,< 2 μM,1.19 μM,1.49 μM,1.13 μM,> 2 μM,0.71 μM,1.23 μM,
87.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
88.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
89.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.47 μM,> 2 μM,
90.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
91.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.80 μM,> 2 μM,
92.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
93.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
94.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,2.07 μM,> 2 μM,
95.0,1.01 μM,< 2 μM,0.94 μM,1.40 μM,0.97 μM,> 2 μM,0.72 μM,1.06 μM,
96.0,1.82 μM,> 10 μM,> 2 μM,> 2 μM,1.81 μM,> 2 μM,1.34 μM,1.80 μM,
97.0,1.32 μM,> 10 μM,> 2 μM,1.46 μM,1.43 μM,> 2 μM,1.09 μM,1.48 μM,
98.0,> 2 μM,> 10 μM,> 2 μM,1.68 μM,> 2 μM,> 2 μM,1.64 μM,1.81 μM,
99.0,1.13 μM,> 10 μM,1.29 μM,1.18 μM,1.13 μM,> 2 μM,0.92 μM,1.06 μM,
100.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
101.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.33 μM,> 2 μM,
102.0,1.49 μM,> 10 μM,1.64 μM,1.44 μM,1.43 μM,> 2 μM,1.26 μM,1.11 μM,
103.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
104.0,1.41 μM,> 10 μM,1.68 μM,1.51 μM,1.62 μM,> 2 μM,1.27 μM,1.17 μM,
105.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
106.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,
107.0,> 2 μM,> 10 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,

--- Table Metadata for Table7 ---
Header Row (0-indexed in sheet): 223
Last Data Row (0-indexed in sheet): 331
Number of Data Rows (Length of Table): 108
