Unnamed_0,전립선암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
37.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
38.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
39.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
40.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
41.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
42.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
43.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
44.0,1.49 μM,1.60 μM,1.00 μM,1.98 μM,1.58 μM,,,,
45.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
46.0,> 2 μM,> 2 μM,1.56 μM,> 2 μM,> 2 μM,,,,
47.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
48.0,> 2 μM,> 2 μM,1.57 μM,> 2 μM,> 2 μM,,,,
49.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
50.0,1.60 μM,1.77 μM,1.28 μM,> 2 μM,> 2 μM,,,,
51.0,1.36 μM,1.24 μM,1.12 μM,1.24 μM,1.03 μM,,,,
52.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
53.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
54.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
55.0,1.93 μM,> 2 μM,1.39 μM,> 2 μM,> 2 μM,,,,
56.0,1.30 μM,1.42 μM,0.86 μM,1.82 μM,1.55 μM,,,,
57.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
58.0,1.30 μM,1.23 μM,1.21 μM,1.44 μM,1.20 μM,,,,
59.0,1.64 μM,1.49 μM,1.14 μM,> 2 μM,1.56 μM,,,,
60.0,1.82 μM,> 2 μM,1.26 μM,> 2 μM,> 2 μM,,,,
61.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
62.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
63.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
64.0,1.43 μM,1.57 μM,1.16 μM,1.71 μM,1.49 μM,,,,
65.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
66.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
67.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
68.0,1.24 μM,0.83 μM,0.94 μM,> 2 μM,1.62 μM,,,,
69.0,1.30 μM,1.00 μM,1.11 μM,> 2 μM,1.87 μM,,,,
70.0,1.25 μM,1.09 μM,1.19 μM,> 2 μM,1.89 μM,,,,
71.0,1.70 μM,1.74 μM,1.23 μM,> 2 μM,> 2 μM,,,,
72.0,1.28 μM,0.71 μM,0.89 μM,1.91 μM,1.52 μM,,,,
73.0,1.87 μM,> 2 μM,1.77 μM,> 2 μM,> 2 μM,,,,
74.0,1.47 μM,> 2 μM,1.46 μM,1.76 μM,1.72 μM,,,,
75.0,1.44 μM,1.02 μM,1.03 μM,> 2 μM,1.88 μM,,,,
76.0,1.70 μM,1.14 μM,1.17 μM,> 2 μM,> 2 μM,,,,
77.0,1.48 μM,0.93 μM,0.93 μM,> 2 μM,> 2 μM,,,,
78.0,1.53 μM,1.15 μM,1.38 μM,> 2 μM,> 2 μM,,,,
79.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
80.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
81.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
82.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
83.0,> 2 μM,1.34 μM,1.05 μM,> 2 μM,1.94 μM,,,,
84.0,> 2 μM,1.39 μM,1.23 μM,> 2 μM,1.42 μM,,,,
85.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
86.0,1.67 μM,1.31 μM,1.11 μM,> 2 μM,1.26 μM,,,,
87.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
88.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
89.0,> 2 μM,> 2 μM,1.96 μM,> 2 μM,> 2 μM,,,,
90.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
91.0,> 2 μM,> 2 μM,1.98 μM,> 2 μM,> 2 μM,,,,
92.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
93.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
94.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
95.0,1.70 μM,0.84 μM,0.94 μM,1.98 μM,1.08 μM,,,,
96.0,> 2 μM,1.74 μM,1.77 μM,> 2 μM,1.90 μM,,,,
97.0,1.70 μM,1.28 μM,1.50 μM,> 2 μM,1.48 μM,,,,
98.0,> 2 μM,1.92 μM,1.91 μM,> 2 μM,1.55 μM,,,,
99.0,1.51 μM,0.97 μM,1.06 μM,> 2 μM,1.24 μM,,,,
100.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
101.0,> 2 μM,1.34 μM,1.42 μM,> 2 μM,> 2 μM,,,,
102.0,1.83 μM,1.65 μM,1.12 μM,> 2 μM,1.49 μM,,,,
103.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
104.0,> 2 μM,1.64 μM,1.23 μM,> 2 μM,1.55 μM,,,,
105.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
106.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,
107.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,,,

--- Table Metadata for Table6 ---
Header Row (0-indexed in sheet): 112
Last Data Row (0-indexed in sheet): 220
Number of Data Rows (Length of Table): 108
