compound_id,iupac_name,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
4,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,KRAS-SOS1 Interaction,1.61e-07
4,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,KRAS-Activation by SOS high GTP,2.43e-07
4,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,KRAS-Activation by SOS no GTP,4.79e-07
4,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,EGFR kinase inhibition IC50,>2.00E-5
5,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,KRAS-SOS1 Interaction,1.71e-06
5,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,KRAS-Activation by SOS high GTP,1.3e-06
5,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,KRAS-Activation by SOS no GTP,5.06e-06
5,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,EGFR kinase inhibition IC50,>2.00E-5
6,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,7,KRAS-SOS1 Interaction,2.28e-06
6,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,7,KRAS-Activation by SOS high GTP,1.86e-06
6,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,7,KRAS-Activation by SOS no GTP,4.98e-06
6,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC(=C2C=NNC2=C1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,7,EGFR kinase inhibition IC50,>2.00E-5
7,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,8,KRAS-SOS1 Interaction,0.44
7,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,8,KRAS-Activation by SOS high GTP,0.18
7,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,8,KRAS-Activation by SOS no GTP,0.33
7,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC=C1C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,8,EGFR kinase inhibition IC50,>2.00E-5
8,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,9,KRAS-SOS1 Interaction,1.82e-05
8,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,9,KRAS-Activation by SOS high GTP,1.98e-05
8,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,9,KRAS-Activation by SOS no GTP,0.14
8,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC2=CN(N=C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,9,EGFR kinase inhibition IC50,>2.00E-5
9,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,10,KRAS-SOS1 Interaction,1.52e-06
9,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,10,KRAS-Activation by SOS high GTP,1.37e-06
9,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,10,KRAS-Activation by SOS no GTP,5.96e-06
9,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C2=CN(N=C2C=CC1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,10,EGFR kinase inhibition IC50,>2.00E-5
10,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,11,KRAS-SOS1 Interaction,1.18e-06
10,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,11,KRAS-Activation by SOS high GTP,1.27e-06
10,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,11,KRAS-Activation by SOS no GTP,8.14e-06
10,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC=C2C=NN(C12)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,11,EGFR kinase inhibition IC50,>2.00E-5
11,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,12,KRAS-SOS1 Interaction,2.83e-07
11,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,12,KRAS-Activation by SOS high GTP,2.21e-07
11,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,12,KRAS-Activation by SOS no GTP,5.4e-07
11,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=CC=2CCCCC12,data/bronze/artifacts/2018_raw.xlsx,Sheet1,12,EGFR kinase inhibition IC50,>2.00E-5
12,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,13,KRAS-SOS1 Interaction,3.35e-07
12,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,13,KRAS-Activation by SOS high GTP,5.78e-07
12,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,13,KRAS-Activation by SOS no GTP,1.29e-06
12,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC1=CC=C(C=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,13,EGFR kinase inhibition IC50,>2.00E-5
13,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C(=NNC2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,14,KRAS-SOS1 Interaction,2.82e-06
13,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C(=NNC2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,14,KRAS-Activation by SOS high GTP,2.65e-06
13,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C(=NNC2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,14,KRAS-Activation by SOS no GTP,7.73e-06
13,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C(=NNC2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,14,EGFR kinase inhibition IC50,>2.00E-5
14,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=NC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,15,KRAS-SOS1 Interaction,6.66e-07
14,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=NC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,15,KRAS-Activation by SOS high GTP,6.08e-07
14,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=NC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,15,KRAS-Activation by SOS no GTP,1.83e-06
14,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=NC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,15,EGFR kinase inhibition IC50,>2.00E-5
15,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,16,KRAS-SOS1 Interaction,1.26e-07
15,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,16,KRAS-Activation by SOS high GTP,9.11e-06
15,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,16,KRAS-Activation by SOS no GTP,3.24e-07
15,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",S1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,16,EGFR kinase inhibition IC50,>2.00E-5
16,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC(=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,17,KRAS-SOS1 Interaction,3.25e-06
16,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC(=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,17,KRAS-Activation by SOS high GTP,3.02e-06
16,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC(=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,17,KRAS-Activation by SOS no GTP,8.17e-06
16,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC(=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,17,EGFR kinase inhibition IC50,>2.00E-5
17,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NN(C2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,18,KRAS-SOS1 Interaction,2.7e-07
17,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NN(C2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,18,KRAS-Activation by SOS high GTP,2.97e-07
17,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NN(C2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,18,KRAS-Activation by SOS no GTP,7.12e-07
17,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NN(C2=CC=C1)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,18,EGFR kinase inhibition IC50,>2.00E-5
18,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C(=C2C=NNC2=CC1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,19,KRAS-SOS1 Interaction,8.5e-06
18,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C(=C2C=NNC2=CC1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,19,KRAS-Activation by SOS high GTP,7.88e-06
18,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C(=C2C=NNC2=CC1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,19,KRAS-Activation by SOS no GTP,1.05e-05
18,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C(=C2C=NNC2=CC1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,19,EGFR kinase inhibition IC50,>2.00E-5
19,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCOC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,20,KRAS-SOS1 Interaction,7.78e-06
19,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCOC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,20,KRAS-Activation by SOS high GTP,6.55e-06
19,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCOC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,20,KRAS-Activation by SOS no GTP,0.44
19,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1CCOC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,20,EGFR kinase inhibition IC50,>2.00E-5
20,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C(=CC2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,21,KRAS-SOS1 Interaction,8.42e-06
20,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C(=CC2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,21,KRAS-Activation by SOS high GTP,8.2e-06
20,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C(=CC2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,21,KRAS-Activation by SOS no GTP,0.41
20,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",O1C(=CC2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,21,EGFR kinase inhibition IC50,>2.00E-5
21,"N-[1-(2,3-dimethoxyphenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",COC1=C(C=CC=C1OC)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,22,KRAS-SOS1 Interaction,3.16e-06
21,"N-[1-(2,3-dimethoxyphenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",COC1=C(C=CC=C1OC)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,22,KRAS-Activation by SOS high GTP,3.23e-06
21,"N-[1-(2,3-dimethoxyphenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",COC1=C(C=CC=C1OC)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,data/bronze/artifacts/2018_raw.xlsx,Sheet1,22,KRAS-Activation by SOS no GTP,1.11e-05
