compound_id,smiles_raw,iupac_name,lcms_text,nan,flag_asterisk,provenance_file,provenance_sheet,provenance_row
Example 319,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=CC=N3)=C(F)\C=C\2N=C1N,2-amino-7-fluoro-3-methyl-N-(2-pyrimidiny Imethy 1) -N-((5 -(trifluoromethyl) -2-pyridinyl)methyl)-6-quinolinecarboxamide,471,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,21
Example 320,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=N3)=C\C=C\2N=C1N,2 -amino -N- ((3 -fluoro -2 -py ridiny l)methy 1) -3 -methyl-N-((5-(trifluoromethyl)-2-pyridinyl)methyl)-6-quinolinecarboxamide,470.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,22
Example 321,NC1=C(Br)C=C2/C=C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3=NC=CC=C3F)\C=N/C2=N1,"7-amino-6-bromo-N-((3-fluoro-2- pyridinyl)methyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-l,8-naphthyridine-3- carboxamide",535/537,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,23
Example 322,CC1=CC2=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)N=C3)CC3=C(F)C=CC=N3)=C/C=C\2N=C1N,2 -amino -N-((3 -fluoro -2 -py ridiny l)methy 1) -3 - methyl-N-((6-(trifluoromethyl)-3- pyridinyl)methyl)-6-quinolinecarboxamide,470.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,24
Example 323,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@@H]3CCCC4=CC=NC=C43)=C/C2=C1,"2-amino-3-methyl-N-((8R)-5,6,7,8-tetrahydro- 8-isoquinolinyl)-N-((5-(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide",492.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,25
Example 324,CC1=CC2=C(/C=C\C(C(=O)N(CC3=NC=C(C(F)F)C=C3)CC(C)C)=C/2)N=C1N,2-amino-N-((5-(difluoromethyl)-2- pyridiny l)methy 1) -3 -me thy 1-N-(2- methylpropyl)-6-quinolinecarboxamide,399.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,26
Example 325,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3CC3)=C/C2=C1,2-amino-N-(cyclopropylmethyl)-3-methyl-N- ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,415,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,27
Example 326,CC1=CC2=C/C(C(=O)N(CC3=CC=C(C(F)F)C=N3)CC3=C(F)C=CC=N3)=C/C=C\2N=C1N,2-amino-N-((5-(difluoromethyl)-2- py ridiny l)methyl) -N- ((3 -fluoro -2- pyridinyl)methyl)-3-methyl-6- quinolinecarboxamide,452,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,28
Example 327,CC1=CC2=C\C(C(=O)N(CC3=CC=C(C#N)C=N3)CC3=C(F)C=CC=N3)=C/C=C\2N=C1N,2-amino-N-((5-cyano-2-pyridinyl)methyl)-N- ((3 -fluoro-2-pyridiny l)methy 1)-3 -methy 1-6- quinolinecarboxamide,427,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,29
Example 328,CC1=CC2=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=N3)=C/C=C\2N=C1N,2 -amino -N- ((3 -fluoro -2 -py ridiny l)methy 1) -3 - methy l-N-(4-(trifluoromethyl)benzyl)-6- quinolinecarboxamide,469,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,30
Example 329,CC1=CC(C(F)(F)F)=CC=C1CN(CC1=C(F)C=CC=N1)C(=O)C1=C/C=C2/N=C(N)C(C)=C/C2=C\1,2 -amino -N- ((3 -fluoro -2 -py ridiny l)methy 1) -3 - mcthyl-N-(2-mcthyl-4- (trifluoromethy l)benzy 1)-6 - quinolinecarboxamide,483,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,31
Example 330,CC1=CC2=C(/C=C\C(C(=O)N(CC3=NC=C(Cl)C=C3)CC(C)C)=C/2)N=C1N,2-amino-N-((5-chloro-2-pyridinyl)methyl)-3- methyl-N-(2-methylpropy 1)-6- quinolinecarboxamide,383,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,32
Example 331,COC(=O)C1=CC=C(CN(CC2=NC=CC=C2F)C(=O)C2=C/C3=CC(C)=C(N)N=C3/C=C\2)N=C1,methyl 6-((((2-amino-3 -methyl-6- quinolinyl)carbonyl)((3-fluoro-2- pyridinyl)methy l)amino)methy 1)-3- pyridinecarboxylate,460.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,33
Example 332,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)C3CC3)=C/C2=C1,2-amino-N-cyclopropyl-7-fluoro-3-methyl-N- ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,419,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,34
Example 333,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C4=CCOCC4)N=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,"2-amino-N-((6-(3,6-dihydro-2H-pyran-4-yl)- 3 -pyridaziny l)methy 1)-3 -methy 1-N-((1R)-1-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide",482,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,35
Example 334,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(C2=CCOCC2)N=N1)C(=O)C1=C/C2=CC(Cl)=C(N)N=C2/C=C\1,"2-amino-3-chloro-N-((6-(3,6-dihydro-2H- pyran-4-y 1) -3 -pyridaziny l)methy 1) -N-((1R)-1- (2-pyrimidinyl)ethyl)-6-quinolinecarboxamide",502,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,36
Example 335,CC1=CC2=C/C(C(=O)N(CC3=NC=NC=C3)CC3=NC=C(C(F)(F)F)C=C3)=C/C=C\2N=C1N,2-amino-3-methyl-N-(4-pyrimidinylmethyl)- N-((5 -(trifluoromethyl) -2 -py ridiny l)methy 1) - 6-quinolinecarboxamide,453,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,37
Example 336,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=CN=C3)=C\C=C\2N=C1N,2 -amino -3 -me thy 1-N - (2 -py raziny Imethy 1) -N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,453,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,38
Example 337,CC1=CN=C(CN(CC2=NC=C(C(F)(F)F)C=C2)C(=O)C2=C\C=C3\N=C(N)C(C)=C\C3=C\2)C=N1,2-amino-3-methyl-N-((5-methyl-2- pyrazinyl)methy l)-N-((5-(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,467.3,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,39
Example 338,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=CC=N3)=C/C=C\2N=C1N,2-amino-3-methyl-N-(2-pyrimidinylmethyl)- N-((5 -(trifluoromethyl) -2 -py ridiny l)methy 1) - 6-quinolinecarboxamide,452.8,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,40
Example 339,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=C(Cl)C=N3)=C/C=C\2N=C1N,2-amino-N-((5-chloro-2-pyrimidinyl)methyl)- 3 -methy l-N-((5 -(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,487.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,41
Example 340,CC1=C/C2=CC(C(=O)N(CC3=NC=C(Cl)C=C3)CC3=NC=CC=N3)=CC=C2/N=C\1N,2-amino-N-((5-chloro-2-pyridinyl)methyl)-3- methyl-N-(2-pyrimidinylmethyl)-6- quinolinecarboxamide,419.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,42
Example 341,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=NC=C(F)C=N3)=C/C=C\2N=C1N,2 -amino -N-((5 -fluoro -2 -py rimidiny l)methy 1) - 3 -methy l-N-((5 -(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,471.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,43
Example 342,CC1=CC2=C/C(C(=O)N(CC3=CC=NC=C3)CC3=NC=C(C(F)(F)F)C=C3)=C/C=C\2N=C1N,2-amino-3-methyl-N-(4-pyridinylmethyl)-N- ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,452,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,44
Example 343,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(C)C=CC=C3)=C\C=C\2N=C1N,2-am ino-3 -methy l-N-((3 -methy 1-2- pyridinyl)methyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,466.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,45
Example 344,CC1=CC2=C/C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C(F)C=CC=C3F)=C\C=C\2N=C1N,"2 -amino -N-(2,6-difluorobenzyl) -3 -methy 1-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide",487.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,46
Example 345,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(Cl)C=N1)C(=O)C1=C/C=C2\N=C(N)C(Br)=C\C2=C\1,(R)-2-amino-3-bromo-N-((5-chloropyridin-2-yl)methyl)-N-(l-(pyrimidin-2- yl)ethyl)quinoline-6-carboxamide,497/499,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,47
Example 346,C[C@H](C1=C(F)C=C(F)C=C1)N(CC1=NC=C(C(F)(F)F)C=C1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/N=C\1,"7-amino-6-bromo-N-((lR)-l-(2,4- difluorophenyl)ethyl)-N-((5-(trifluoromethyl)- 2 -py ridiny l)methy 1) -1,8 -naphthy ridine -3 - carboxamide",566/568,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,48
Example 347,C[C@H](C1=NC=CC=N1)N(CC1=NC=C(C(F)(F)F)C=C1)C(=O)C1=C/C=C2/N=C(N)C(Cl)=C/C2=C\1,2 -amino -3 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,487.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,49
Example 348,C[C@H](C1=NC=CC=N1)N(CC1=CC=C(Br)N=N1)C(=O)C1=C/C2=CC(Cl)=C(N)N=C2/C=C\1,2-amino-N-((6-bromo-3-pyridazinyl)methyl)- 3 -chloro-N-((1R) -1 -(2-py rimidiny l)ethy 1) -6- quinolinecarboxamide,498,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,50
Example 349,CC1=C(N)/N=C2\C=C(F)C(C(=O)N(CC3=CC=C(Br)N=N3)[C@H](C)C3=NC=CC=N3)=C\C2=C\1,2-amino-N-((6-bromo-3-pyridazinyl)methyl)- 7-fluoro-3 -methy l-N-(( 1R) -1 - (2 - pyrimidinyl)ethyl)-6-quinolinecarboxamide,496.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,51
Example 350,CN(CC1=CC=C(Br)N=N1)(C(=O)C1=C/C2=CC(Br)=C(N)N=C2/N=C\1)C1=NC=CC=N1,"7-amino-6-bromo-N-((6-bromo-3- pyridazinyl)methyl)-N-((lR)-l-(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",545.8,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,52
Example 351,C[C@H](C1=C(F)C=CC=N1)N(CC1=CC=C(C#N)C=N1)C(=O)C1=C/C2=CC(Cl)=C(N)N=C2/C=C\1,2-amino-3-chloro-N-((5-cy ano -2- py ridiny l)methy 1) -N-(( 1R) -1-(3 -fluoro -2- pyridinyl)ethyl)-6-quinolinecarboxamide,461.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,53
Example 352,C[C@H](C1=C(F)C=CC=N1)N(CC1=CC=C(C#N)C=N1)C(=O)C1=C/C2=CC(Br)=C(N)N=C2/C=C\1,2-amino-3-bromo-N-((5-cyano-2- py ridiny l)methy 1) -N-(( 1R) -1-(3 -fluoro -2- pyridinyl)ethyl)-6-quinolinecarboxamide,505/507,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,54
Example 353,CC1=C(N)N=C2/C=C(F)\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@H](C)C3=NC=CC=C3F)=C/C2=C1,2-amino-N-((5-cyano-2-pyridinyl)methy 1)-7- fluoro-N-((lR)-l-(3-fluoro-2-pyridinyl)ethyl)- 3 -methy 1-6-quinolinecarboxamide,459.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,55
Example 354,C[C@H](C1=C(F)C=CC=N1)N(CC1=CC=C(C#N)C=N1)C(=O)C1=CC2=C/C(Br)=C(N)\N=C\2N=C1,"7-amino-6-bromo-N-((5-cyano-2- py ridiny l)methy 1) -N-(( 1R) -1-(3 -fluoro -2 - pyridinyl)ethyl)-l,8-naphthyridine-3- carboxamide",506/508,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,56
Example 355,CC1=C(N)/N=C2/C=CC(C(=O)N(CC3=CC=C(C(N)=O)C=C3)CC3=CC=C(C(F)(F)F)C=N3)=C/C2=C\1,2-amino-N-(4-carbamoylbenzyl)-3-methyl-N- ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,494,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,57
Example 356,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)CC3=CC=NC4=C3C=CN4)=C/C2=C1,"2-amino-3-methyl-N-(lH-pyrrolo[2,3- b]pyridin-4-ylmethyl)-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide",491.1,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,58
Example 357,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=NC=C(Br)C=C3)CC(C)C)=C/C2=C1,2-amino-N-((5-bromo-2-pyridiny l)methy 1)-3- methyl-N-(2-methylpropy 1)-6- quinolinecarboxamide,427/429,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,59
Example 358,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(N4CCC(F)(F)C4)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,"2-amino-N-((5-(3,3-difluoro-l-pyrrolidinyl)- 2-pyridinyl)methyl)-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide",504.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,60
Example 359,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(N4CC(F)(F)C4)C=N3)[C@H](C)C3=NC=CC=N3)=C/C2=C1,"2-ammo-N-((5-(3,3-difluoro-l-azetidinyl)-2- pyridinyl)methyl)-3-methyl-N-((lR)-l-(2- pyrimidinyl)ethyl)-6-quinolinecarboxamide",490.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,61
Example 360,CC1=C(N)/N=C2/C=CC(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)[C@H](C)C3=CC=C(F)C=C3)=C/C2=C\1,2 -amino -N-(( 1R) -1 - (4 -fluor opheny l)ethy 1)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,483.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,62
Example 361,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@@H]3CCCC[C@H]3O)=C/C2=C1,"2-am ino-N-((lR,2R)-2-hydroxycyclohexy 1)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide",459.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,63
Example 362,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)C=N3)[C@@H]3CCC[C@H]3O)=C/C2=C1,"2-amino-N-((lR,2R)-2-hydroxycyclopentyl)- 3 -methy l-N-((5 -(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide",445.5,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,64
Example 363,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)(F)F)N=N3)[C@@H]3CCC[C@H]3O)=C/C2=C1,"2-amino-N-((lR,2R)-2-hydroxycyclopentyl)- 3-methyl-N-((6-(trifluoromethyl)pyridazin-3- yl)methyl)quinoline-6-carboxamide",446.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,65
Example 364,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C(F)F)C=N3)[C@@H]3CCC[C@H]3O)=C/C2=C1,"2-amino-N-((5-(difluoromethyl)pyridin-2- yl)methyl)-N-((lR,2R)-2- hydroxycyclopentyl)-3-methylquinoline-6- carboxamide",427.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,66
Example 365,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(C#N)C=N3)[C@@H]3CCC[C@H]3O)=C/C2=C1,"2 -amino -N-((5 -cy anopy ridin-2 -y l)methy 1) -N - ((lR,2R)-2-hydroxycyclopentyl)-3- methylquinoline-6-carboxamide",402.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,67
Example 366,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C(Br)N=N3)[C@@H]3CCC[C@H]3O)=C/C2=C1,"2-amino-N-((6-bromo-3-pyridazinyl)methyl)- N-((1R, 2R)-2 -hydroxy cyclopenty l)-3-methyl- 6-quinolinecarboxamide",456/458,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,68
Example 367,COC1=CC=C(CN(C(=O)C2=C/C3=CC(C)=C(N)N=C3/C=C\2)[C@@H]2CCC[C@H]2O)N=N1,"2-amino-N-((lR,2R)-2-hydroxycyclopentyl)- N-((6 -methoxy pyridazin-3 -y l)methy 1)-3- methylquinoline-6-carboxamide",408.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,69
Example 368,CC1=C(N)N=C2/N=C\C(C(=O)N(CC3=NC=C(C(F)(F)F)C=C3)CC3=C4C=CNC4=NC=C3)=C/C2=C1,"N-((lH-pyrrolo[2,3-b]pyridin-4-yl)methy 1)-7- amino-6-methyl-N-((5 - (trifluor omethy l)py ridin-2 -y l)me thy 1) -1,8 - naphthyridine-3 -carboxamide",492.2,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,70
Example 369,CC1=C(N)N=C2/C=C\C(C(=O)N(CC3=CC=C4NN=CC4=C3)CC3=NC=C(C(F)(F)F)C=C3)=C/C2=C1,2-amino-N-( lH-indazol-5 -y Imethy 1)-3 - methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,491,nan,nan,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,71
