compound_id,target_id,assay_id,qualifier,value_std,unit_std,year,qc_pass,provenance_file,provenance_sheet,provenance_row,smiles_raw
Example 309,prmt5,prmt5.enzyme.ki.A,=,2.35,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,
Example 309,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,
Example 310,cell:HCT116.WT,cell.proliferation.ic50,=,1.6,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,
Example 310,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,
Example 311,cell:HCT116.WT,cell.proliferation.ic50,=,2.84,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,14,
Example 311,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,14,
Example 312,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,15,
Example 312,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,15,
Example 313,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,16,
Example 313,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,16,
Example 314,cell:HCT116.WT,cell.proliferation.ic50,=,5.13,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,17,
Example 314,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,17,
Example 315,cell:HCT116.WT,cell.proliferation.ic50,=,4.34,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,18,
Example 315,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,18,
Example 316,cell:HCT116.WT,cell.proliferation.ic50,=,10.35,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,
Example 316,prmt5,prmt5.enzyme.ki.A,=,1.03,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,
Example 316,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,
Example 317,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,
Example 317,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,
Example 318,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,
Example 318,prmt5,prmt5.enzyme.ki.A,=,1.91,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,
Example 318,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,
Example 319,cell:HCT116.WT,cell.proliferation.ic50,=,4.23,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,
Example 319,prmt5,prmt5.enzyme.ki.A,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,
Example 319,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,22,
Example 320,cell:HCT116.WT,cell.proliferation.ic50,=,3.48,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,23,
Example 320,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,23,
Example 321,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,24,
Example 321,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,24,
Example 322,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,
Example 322,prmt5,prmt5.enzyme.ki.A,=,1.09,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,
Example 322,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,25,
Example 323,cell:HCT116.WT,cell.proliferation.ic50,=,5.01,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,26,
Example 323,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,26,
Example 324,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,
Example 324,prmt5,prmt5.enzyme.ki.A,=,2.0,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,
Example 324,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,27,
Example 325,cell:HCT116.WT,cell.proliferation.ic50,=,6.18,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,
Example 325,prmt5,prmt5.enzyme.ki.A,=,2.76,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,
Example 325,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,28,
Example 326,cell:HCT116.WT,cell.proliferation.ic50,=,4.32,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,29,
Example 326,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,29,
Example 327,cell:HCT116.WT,cell.proliferation.ic50,=,8.64,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,30,
Example 327,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,30,
Example 328,cell:HCT116.WT,cell.proliferation.ic50,=,4.64,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,31,
Example 328,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,31,
Example 329,cell:HCT116.WT,cell.proliferation.ic50,=,3.9,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,32,
Example 329,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,32,
Example 330,cell:HCT116.WT,cell.proliferation.ic50,=,8.57,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,
Example 330,prmt5,prmt5.enzyme.ki.A,=,1.87,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,
Example 330,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,33,
Example 331,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,34,
Example 331,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,34,
Example 332,cell:HCT116.WT,cell.proliferation.ic50,=,5.14,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,
Example 332,prmt5,prmt5.enzyme.ki.A,=,4.87,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,
Example 332,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,35,
Example 333,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,36,
Example 334,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,37,
Example 334,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,37,
Example 335,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,38,
Example 335,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,38,
Example 336,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,39,
Example 336,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,39,
Example 337,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,40,
Example 337,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,40,
Example 338,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,41,
Example 338,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,41,
Example 339,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,
Example 339,prmt5,prmt5.enzyme.ki.A,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,
Example 339,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,
Example 340,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,
Example 340,prmt5,prmt5.enzyme.ki.A,=,1.39,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,
Example 340,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,
Example 341,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,44,
Example 341,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,44,
Example 342,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,
Example 342,prmt5,prmt5.enzyme.ki.A,=,2.72,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,
Example 342,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,
Example 343,cell:HCT116.WT,cell.proliferation.ic50,=,2.83,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,46,
Example 343,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,46,
Example 344,cell:HCT116.WT,cell.proliferation.ic50,=,1.8,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,47,
Example 344,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,47,
Example 345,cell:HCT116.WT,cell.proliferation.ic50,=,4.05,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,48,
Example 345,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,48,
Example 346,cell:HCT116.WT,cell.proliferation.ic50,=,1.58,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,49,
Example 346,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,49,
Example 347,cell:HCT116.WT,cell.proliferation.ic50,=,6.2,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,50,
Example 347,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,50,
Example 348,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,51,
Example 348,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,51,
Example 349,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,52,
Example 350,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,53,
Example 350,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,53,
Example 351,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,
Example 351,prmt5,prmt5.enzyme.ki.A,=,1.29,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,
Example 351,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,
Example 352,cell:HCT116.WT,cell.proliferation.ic50,=,8.09,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,55,
Example 352,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,55,
Example 353,cell:HCT116.WT,cell.proliferation.ic50,=,1.51,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,56,
Example 353,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,56,
Example 354,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,57,
Example 354,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,57,
Example 355,cell:HCT116.WT,cell.proliferation.ic50,=,3.35,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,58,
Example 355,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,58,
Example 356,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,59,
Example 357,cell:HCT116.WT,cell.proliferation.ic50,=,7.05,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,
Example 357,prmt5,prmt5.enzyme.ki.A,=,4.34,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,
Example 357,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,60,
Example 358,cell:HCT116.WT,cell.proliferation.ic50,=,137.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,
Example 358,prmt5,prmt5.enzyme.ki.A,=,2.5,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,
Example 358,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,61,
Example 359,cell:HCT116.WT,cell.proliferation.ic50,=,4.74,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,
Example 359,prmt5,prmt5.enzyme.ki.A,<,0.1,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,
Example 359,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,62,
Example 360,cell:HCT116.WT,cell.proliferation.ic50,=,4.81,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,63,
Example 360,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,63,
Example 361,cell:HCT116.WT,cell.proliferation.ic50,=,3.22,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,
Example 361,prmt5,prmt5.enzyme.ki.A,=,2.1,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,
Example 361,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,64,
Example 362,cell:HCT116.WT,cell.proliferation.ic50,=,2.46,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,65,
Example 362,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,65,
Example 363,cell:HCT116.WT,cell.proliferation.ic50,=,7.16,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,66,
Example 363,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,66,
Example 364,cell:HCT116.WT,cell.proliferation.ic50,=,6.2,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,67,
Example 364,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,67,
Example 365,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,68,
Example 365,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,68,
Example 366,cell:HCT116.WT,cell.proliferation.ic50,=,7.01,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,69,
Example 366,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,69,
Example 367,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,70,
Example 367,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,70,
Example 368,cell:HCT116.WT,cell.proliferation.ic50,=,7.66,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,71,
Example 368,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,71,
Example 369,cell:HCT116.WT,cell.proliferation.ic50,=,3.4,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,72,
Example 369,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,72,
Example 370,cell:HCT116.WT,cell.proliferation.ic50,=,5.62,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,73,
Example 370,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,73,
Example 371,cell:HCT116.WT,cell.proliferation.ic50,=,1.39,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,74,
Example 371,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,74,
Example 372,cell:HCT116.WT,cell.proliferation.ic50,=,2.41,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,75,
Example 372,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,75,
Example 373,cell:HCT116.WT,cell.proliferation.ic50,=,1.37,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,76,
Example 373,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,76,
Example 374,cell:HCT116.WT,cell.proliferation.ic50,=,8.57,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,77,
Example 374,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,77,
Example 375,cell:HCT116.WT,cell.proliferation.ic50,=,2.13,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,78,
Example 375,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,78,
Example 376,cell:HCT116.WT,cell.proliferation.ic50,=,1.51,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,79,
Example 376,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,79,
Example 377,cell:HCT116.WT,cell.proliferation.ic50,=,2.56,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,80,
Example 377,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,80,
Example 378,cell:HCT116.WT,cell.proliferation.ic50,=,6.96,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,81,
Example 378,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,81,
Example 379,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,82,
Example 379,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,82,
Example 380,cell:HCT116.WT,cell.proliferation.ic50,=,1.67,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,83,
Example 380,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,83,
Example 381,cell:HCT116.WT,cell.proliferation.ic50,=,8.97,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,84,
Example 381,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,84,
Example 382,cell:HCT116.WT,cell.proliferation.ic50,=,9.68,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,85,
Example 382,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,85,
Example 383,cell:HCT116.WT,cell.proliferation.ic50,=,5.32,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,86,
Example 383,prmt5,prmt5.enzyme.ki.A,=,2.06,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,86,
Example 383,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,86,
Example 384,cell:HCT116.WT,cell.proliferation.ic50,=,5.1,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,87,
Example 384,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,87,
Example 385,cell:HCT116.WT,cell.proliferation.ic50,=,1.31,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,88,
Example 385,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,88,
Example 386,cell:HCT116.WT,cell.proliferation.ic50,=,3.83,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,89,
Example 386,prmt5,prmt5.enzyme.ki.A,=,3.46,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,89,
Example 386,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,89,
Example 387,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,90,
Example 387,prmt5,prmt5.enzyme.ki.A,=,1.67,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,90,
Example 387,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,90,
Example 388,cell:HCT116.WT,cell.proliferation.ic50,=,4.88,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,91,
Example 388,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,91,
Example 389,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,92,
Example 389,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,92,
Example 390,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,93,
Example 391,cell:HCT116.WT,cell.proliferation.ic50,=,4.8,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,94,
