compound_id,smiles_raw,iupac_name,provenance_file,provenance_sheet,provenance_row
14,S1C=NC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,15
15,S1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,16
16,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NNC2=CC(=C1)C,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,17
17,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C2C=NN(C2=CC=C1)C,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,18
18,FC=1C(=C2C=NNC2=CC1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,19
19,O1CCOC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,20
20,O1C(=CC2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,21
21,COC1=C(C=CC=C1OC)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[1-(2,3-dimethoxyphenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,22
22,O1CCC2=C1C=CC=C2C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(2,3-dihydro-1-benzofuran-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,23
23,O1COC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(1,3-benzodioxol-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,24
24,O1CCC2=C1C=CC(=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(2,3-dihydro-1-benzofuran-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,25
25,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=2CCCCC2C=C1,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-2-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,26
26,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=C(N=C2N1C=CC=C2)C,"6,7-dimethoxy-2-methyl-N-[1-(2-methylimidazo[1,2-a]pyridin-3-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,27
27,S1C=C(C2=C1C=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-[1-(1-benzothiophen-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,28
28,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1OC2=C(C1)C=CC=C2O,"2-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzofuran-7-ol",data/bronze/artifacts/2018_raw.xlsx,Sheet1,29
29,BrC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=CC=C1,6-bromo-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,data/bronze/artifacts/2018_raw.xlsx,Sheet1,30
30,CS(=O)(C)=NC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=CC=C1,6-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,data/bronze/artifacts/2018_raw.xlsx,Sheet1,31
31,BrC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=C(C=C1)F,6-bromo-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,data/bronze/artifacts/2018_raw.xlsx,Sheet1,32
32,CS(=O)(C)=NC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=C(C=C1)F,6-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,data/bronze/artifacts/2018_raw.xlsx,Sheet1,33
33,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1OC2=C(C1)C=CC=C2OC,"6,7-dimethoxy-N-[1-(7-methoxy-1-benzofuran-2-yl)ethyl]-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,34
34,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC2=C(NC(CO2)=O)C1,"6-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2H-1,4-benzoxazin-3(4H)-one",data/bronze/artifacts/2018_raw.xlsx,Sheet1,35
35,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC2=CC=C(C=C2C=C1)OC,"6,7-dimethoxy-N-[1-(6-methoxy-2-naphthyl)ethyl]-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,36
36,NC=1C=CC(=C(C1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C)C,"N-[(1R)-1-(5'-amino-2'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,37
37,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=NC=NC1,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(pyrimidin-5-yl)phenyl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,38
38,C1(CC1)COC=1C=C(C=CC1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[3'-(cyclopropylmethoxy)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,39
39,C1=NC=CC2=C(C=CC=C12)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[3-(isoquinolin-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,40
40,ClC1=C(C(=CC=C1C)F)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-(2'-chloro-6'-fluoro-3'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,41
41,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=NC=C(C1)C,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(5-methylpyridin-3-yl)phenyl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,42
42,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C=1C=NC=NC1,"6,7-dimethoxy-2-methyl-N-{1-[5-(pyrimidin-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,43
43,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=CC=C(C=C1)N1CCOCC1,"6,7-dimethoxy-2-methyl-N-[1-{5-[4-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,44
44,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=CC(=CC=C1)N1CCOCC1,"6,7-dimethoxy-2-methyl-N-[1-{5-[3-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,45
45,C1=NC=CC2=C(C=CC=C12)C1=CC=C(S1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{1-[5-(isoquinolin-5-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,46
46,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C=1C=NC=C(C1)C,"6,7-dimethoxy-2-methyl-N-(1-[5-(5-methylpyridin-3-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,47
47,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=C(C=CC=C1)OCCC,"6,7-dimethoxy-2-methyl-N-{1-[5-(2-propoxyphenyl)thiophen-2-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,48
48,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=C(S1)C1=C(C(=O)N(C)C)C=CC=C1,"2-(5-(1-[(6J-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,49
49,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C=1C=C2C=CN(C2=CC1)C,"6,7-dimethoxy-2-methyl-N-{1-[5-(1-methyl-1H-indol-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,50
50,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=C(C=CC=C1)COC,"6,7-dimethoxy-N-[1-{5-[2-(methoxymethyl)phenyl]thiophen-2-yl}ethyl]-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,51
51,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=C(S1)C=1C=C(C(=O)N(C)C)C=CC1,"3-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,52
52,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=C(S1)C=1SC(=CC1)CO,"(5'-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2,2'-bithiophen-5-yl)methanol",data/bronze/artifacts/2018_raw.xlsx,Sheet1,53
53,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=C(C=NC=C1)C,"6,7-dimethoxy-2-methyl-N-(1-[5-(3-methylpyridin-4-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,54
54,N1C=CC2=CC=C(C=C12)C1=CC=C(S1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{1-[5-(1H-indol-6-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,55
55,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)C=1OC(=NN1)C,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,56
56,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=NC=C(C1)S(=O)(=O)C,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[5-(methylsulfonyl)pyridin-3-yl]phenyl}ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,57
57,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C=1C=C2CC(NC2=CC1)=O,"5-(3-((1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)-1,3-dihydro-2H-indol-2-one",data/bronze/artifacts/2018_raw.xlsx,Sheet1,58
58,CC1(C(C1)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C)C,"N-{(1R)-1-[3-(2,2-dimethylcyclopropyl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,59
59,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C=1OC(=NN1)C,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,60
60,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=C2C(=NC1)NC=C2,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,61
61,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)S(=O)(=O)N,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-sulfonamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,62
62,NC1=NC=C(C=N1)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[3-(2-aminopyrimidin-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,63
63,C1(CC1)/C=C/C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-{3-[(E)-2-cyclopropylethenyl]phenyl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,64
64,C(C)OCC1=C(C=CC=C1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[2'-(ethoxymethyl)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,65
65,FC=1C=C(C=C(C1)OC)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-(3'-fluoro-5'-methoxybiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,66
66,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1OC2=C(C1)C=C(C=C2)OC,"6,7-dimethoxy-N-{(1R)-1-[3-(5-methoxy-1-benzofuran-2-yl)phenyl]ethyl}-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,67
67,C(CCC)OC1=C(C(=CC=C1)F)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-(2'-butoxy-6'-fluorobiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,68
68,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C=1C=CC(=NC1)O,"5-(3-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)pyridin-2-ol",data/bronze/artifacts/2018_raw.xlsx,Sheet1,69
69,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C(C#N)(C)C,"2-(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)-2-methylpropanenitrile",data/bronze/artifacts/2018_raw.xlsx,Sheet1,70
70,COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=CC=CC=C1,"6,7-dimethoxy-2-methyl-N-[1-(5-phenylthiophen-2-yl)ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,71
71,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)CNS(=O)(=O)C,"N-[(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-yl)methyl]methanesulfonamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,72
72,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)CNS(=O)(=O)C,"N-[(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)methyl]methanesulfonamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,73
73,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C(=O)NCCC,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-propylbiphenyl-4-carboxamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,74
74,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C(=O)NCCN(C)C,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-[2-(dimethylamino)ethyl]biphenyl-4-carboxamide",data/bronze/artifacts/2018_raw.xlsx,Sheet1,75
75,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C1=NNC=C1,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrazol-3-yl)phenyl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,76
76,C/C(=C\C)/C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-[(1R)-1-{3-[(2E)-but-2-en-2-yl]phenyl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,77
77,ClC=1C=CC(=C(C1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C)OCCC,"N-[(1R)-1-(5'-chloro-2'-propoxybiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,78
78,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)\C=C\CC1=CC=CC=C1,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[(1E)-3-phenylprop-1-en-1-yl]phenyl}ethyl]quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,79
79,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)N1CCOCC1,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,80
80,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)N1CCOCC1,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,81
81,C(C1=CC=CC=C1)OC1=C(C=CC=C1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[2'-(benzyloxy)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,82
82,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)S(=O)(=O)C,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(methylsulfonyl)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,83
83,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=C(C=CC=C1)OC(F)(F)F,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[2'-(trifluoromethoxy)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,84
84,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)OC(F)(F)F,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(trifluoromethoxy)biphenyl-3-yl]ethyl}quinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,85
85,N1C=CC2=CC(=CC=C12)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[3-(1H-indol-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,86
86,O1C=C(C=C1)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,"N-{(1R)-1-[3-(furan-3-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,87
87,S1C=C(C2=C1C=CC=C2)C=2C=C(C=CC2)[C@@H](C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C,"N-{(1R)-1-[3-(1-benzothiophen-3-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",data/bronze/artifacts/2018_raw.xlsx,Sheet1,88
