compound_id,assay_id,cell_line,genotype,value_raw,value_num,unit,censor,assay_label,provenance_file,provenance_sheet,provenance_row,meas_kind,limit
32,assay.unknown.iupacs,,,6-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,6.0,-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,32,IC50,
33,assay.unknown.iupacs,,,"6,7-dimethoxy-N-[1-(7-methoxy-1-benzofuran-2-yl)ethyl]-2-methylquinazolin-4-amine",6.0,",7-dimethoxy-N-[1-(7-methoxy-1-benzofuran-2-yl)ethyl]-2-methylquinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,33,IC50,
34,assay.unknown.iupacs,,,"6-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2H-1,4-benzoxazin-3(4H)-one",6.0,"-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2H-1,4-benzoxazin-3(4H)-one",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,34,IC50,
35,assay.unknown.iupacs,,,"6,7-dimethoxy-N-[1-(6-methoxy-2-naphthyl)ethyl]-2-methylquinazolin-4-amine",6.0,",7-dimethoxy-N-[1-(6-methoxy-2-naphthyl)ethyl]-2-methylquinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,35,IC50,
36,assay.unknown.iupacs,,,"N-[(1R)-1-(5'-amino-2'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,36,IC50,
37,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(pyrimidin-5-yl)phenyl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3-(pyrimidin-5-yl)phenyl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,37,IC50,
38,assay.unknown.iupacs,,,"N-{(1R)-1-[3'-(cyclopropylmethoxy)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,38,IC50,
39,assay.unknown.iupacs,,,"N-{(1R)-1-[3-(isoquinolin-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,39,IC50,
40,assay.unknown.iupacs,,,"N-[(1R)-1-(2'-chloro-6'-fluoro-3'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,40,IC50,
41,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(5-methylpyridin-3-yl)phenyl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3-(5-methylpyridin-3-yl)phenyl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,41,IC50,
42,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{1-[5-(pyrimidin-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{1-[5-(pyrimidin-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,42,IC50,
43,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-{5-[4-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-{5-[4-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,43,IC50,
44,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-{5-[3-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-{5-[3-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,44,IC50,
45,assay.unknown.iupacs,,,"N-{1-[5-(isoquinolin-5-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,45,IC50,
46,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-(1-[5-(5-methylpyridin-3-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-(1-[5-(5-methylpyridin-3-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,46,IC50,
47,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{1-[5-(2-propoxyphenyl)thiophen-2-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{1-[5-(2-propoxyphenyl)thiophen-2-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,47,IC50,
48,assay.unknown.iupacs,,,"2-(5-(1-[(6J-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",2.0,"-(5-(1-[(6J-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,48,IC50,
49,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{1-[5-(1-methyl-1H-indol-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{1-[5-(1-methyl-1H-indol-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,49,IC50,
50,assay.unknown.iupacs,,,"6,7-dimethoxy-N-[1-{5-[2-(methoxymethyl)phenyl]thiophen-2-yl}ethyl]-2-methylquinazolin-4-amine",6.0,",7-dimethoxy-N-[1-{5-[2-(methoxymethyl)phenyl]thiophen-2-yl}ethyl]-2-methylquinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,50,IC50,
51,assay.unknown.iupacs,,,"3-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",3.0,"-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,51,IC50,
52,assay.unknown.iupacs,,,"(5'-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2,2'-bithiophen-5-yl)methanol",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,52,IC50,
53,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-(1-[5-(3-methylpyridin-4-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-(1-[5-(3-methylpyridin-4-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,53,IC50,
54,assay.unknown.iupacs,,,"N-{1-[5-(1H-indol-6-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,54,IC50,
55,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,55,IC50,
56,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[5-(methylsulfonyl)pyridin-3-yl]phenyl}ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[(1R)-1-{3-[5-(methylsulfonyl)pyridin-3-yl]phenyl}ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,56,IC50,
57,assay.unknown.iupacs,,,"5-(3-((1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)-1,3-dihydro-2H-indol-2-one",5.0,"-(3-((1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)-1,3-dihydro-2H-indol-2-one",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,57,IC50,
58,assay.unknown.iupacs,,,"N-{(1R)-1-[3-(2,2-dimethylcyclopropyl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,58,IC50,
59,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,59,IC50,
60,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,60,IC50,
61,assay.unknown.iupacs,,,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-sulfonamide",3.0,"'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-sulfonamide",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,61,IC50,
62,assay.unknown.iupacs,,,"N-{(1R)-1-[3-(2-aminopyrimidin-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,62,IC50,
63,assay.unknown.iupacs,,,"N-[(1R)-1-{3-[(E)-2-cyclopropylethenyl]phenyl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,63,IC50,
64,assay.unknown.iupacs,,,"N-{(1R)-1-[2'-(ethoxymethyl)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,64,IC50,
65,assay.unknown.iupacs,,,"N-[(1R)-1-(3'-fluoro-5'-methoxybiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,65,IC50,
66,assay.unknown.iupacs,,,"6,7-dimethoxy-N-{(1R)-1-[3-(5-methoxy-1-benzofuran-2-yl)phenyl]ethyl}-2-methylquinazolin-4-amine",6.0,",7-dimethoxy-N-{(1R)-1-[3-(5-methoxy-1-benzofuran-2-yl)phenyl]ethyl}-2-methylquinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,66,IC50,
67,assay.unknown.iupacs,,,"N-[(1R)-1-(2'-butoxy-6'-fluorobiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,67,IC50,
68,assay.unknown.iupacs,,,"5-(3-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)pyridin-2-ol",5.0,"-(3-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)pyridin-2-ol",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,68,IC50,
69,assay.unknown.iupacs,,,"2-(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)-2-methylpropanenitrile",2.0,"-(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)-2-methylpropanenitrile",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,69,IC50,
70,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(5-phenylthiophen-2-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(5-phenylthiophen-2-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,70,IC50,
71,assay.unknown.iupacs,,,"N-[(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-yl)methyl]methanesulfonamide",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,71,IC50,
72,assay.unknown.iupacs,,,"N-[(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)methyl]methanesulfonamide",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,72,IC50,
73,assay.unknown.iupacs,,,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-propylbiphenyl-4-carboxamide",3.0,"'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-propylbiphenyl-4-carboxamide",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,73,IC50,
74,assay.unknown.iupacs,,,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-[2-(dimethylamino)ethyl]biphenyl-4-carboxamide",3.0,"'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-[2-(dimethylamino)ethyl]biphenyl-4-carboxamide",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,74,IC50,
75,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrazol-3-yl)phenyl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrazol-3-yl)phenyl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,75,IC50,
76,assay.unknown.iupacs,,,"N-[(1R)-1-{3-[(2E)-but-2-en-2-yl]phenyl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,76,IC50,
77,assay.unknown.iupacs,,,"N-[(1R)-1-(5'-chloro-2'-propoxybiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,77,IC50,
78,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[(1E)-3-phenylprop-1-en-1-yl]phenyl}ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[(1R)-1-{3-[(1E)-3-phenylprop-1-en-1-yl]phenyl}ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,78,IC50,
79,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,79,IC50,
80,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(morpholin-4-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,80,IC50,
81,assay.unknown.iupacs,,,"N-{(1R)-1-[2'-(benzyloxy)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,81,IC50,
82,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(methylsulfonyl)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(methylsulfonyl)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,82,IC50,
83,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[2'-(trifluoromethoxy)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[2'-(trifluoromethoxy)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,83,IC50,
84,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(trifluoromethoxy)biphenyl-3-yl]ethyl}quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(trifluoromethoxy)biphenyl-3-yl]ethyl}quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,84,IC50,
85,assay.unknown.iupacs,,,"N-{(1R)-1-[3-(1H-indol-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,85,IC50,
