compound_id,dataset_id,assay_id,panel_id,cell_line,smiles_canonical,inchikey,value_std,unit_std,censor,readout,matrix,provenance_file,provenance_sheet,provenance_row,std_rule_id,std_confidence,value_raw,value_num,unit,dataset_id_comp
17,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)c2ccc(Br)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,ZJIRZMMDNCFZNT-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,17,SCL_CONC_V1,1,> 2 μM,2,μM,2017
18,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1C(C)=O,HRJHPOAOJMPMRP-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,18,SCL_CONC_V1,1,> 2 μM,2,μM,2017
19,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)n(C(C)=O)c2c(Br)ccc(Cl)c2c1=O,KYKYAMLHRBBNLM-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,19,SCL_CONC_V1,1,> 2 μM,2,μM,2017
20,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccccc2)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,GZKLRDKEMAZHDO-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,20,SCL_CONC_V1,1,> 2 μM,2,μM,2017
21,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)(=O)=O)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,LROGNEVHSXJTME-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,21,SCL_CONC_V1,1,> 2 μM,2,μM,2017
22,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)n(Cc2ccc(F)c(Cl)c2)c2c(Br)ccc(Cl)c2c1=O,FHWFBAFFPQZJCP-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,22,SCL_CONC_V1,1,> 2 μM,2,μM,2017
23,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2ccccc2)n(C(=O)c2ccc(Br)cc2)c2c(Br)ccc(Cl)c2c1=O,KGJPHFGTDXFDPH-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,23,SCL_CONC_V1,1,> 2 μM,2,μM,2017
24,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SC(C)C)[nH]c2c(Br)ccc(Cl)c2c1=O,WVIIGRTXOZBDFE-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,24,SCL_CONC_V1,1,> 2 μM,2,μM,2017
25,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)C(C)C)[nH]c2c(Br)ccc(Cl)c2c1=O,YWXSSNSHLNZGNS-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,25,SCL_CONC_V1,1,> 2 μM,2,μM,2017
26,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)C(C)c2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,UTAKUHZFECUQRA-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,26,SCL_CONC_V1,1,> 2 μM,2,μM,2017
27,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2cccc(C#N)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,QCDYFQQAHDVPFR-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,27,SCL_CONC_V1,1,> 2 μM,2,μM,2017
28,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2cccc(C#N)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,RZSPUVOOSCYMBI-UHFFFAOYSA-N,1.46,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,28,SCL_CONC_V1,1,1.46 μM,1.46,μM,2017
29,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(F)cc2F)[nH]c2c(Br)ccc(Cl)c2c1=O,DCYWPDFLCPAYHM-UHFFFAOYSA-N,1.68,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,29,SCL_CONC_V1,1,1.68 μM,1.68,μM,2017
30,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2ccc(F)c(Cl)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,LMYWHTDVBLKGFE-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,30,SCL_CONC_V1,1,> 2 μM,2,μM,2017
31,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(F)c(Cl)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,WNLYEZZFHDUJRL-UHFFFAOYSA-N,1.45,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,31,SCL_CONC_V1,1,1.45 μM,1.45,μM,2017
34,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)(=O)Cc2ccccc2)[nH]c2c(Br)ccc(Cl)c2c1=O,NUPDLHGYKKDUTR-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,34,SCL_CONC_V1,1,> 2 μM,2,μM,2017
35,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1S(C)(=O)=O,QZUOQDVURHMTNF-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,35,SCL_CONC_V1,1,> 2 μM,2,μM,2017
36,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)n(S(=O)(=O)C(F)(F)F)c2c(Br)ccc(Cl)c2c1=O,JWBFYUJKEFJNDB-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,36,SCL_CONC_V1,1,> 2 μM,2,μM,2017
37,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1S(=O)(=O)c1ccc(Cl)cc1,CIWAJLYOUVBDEU-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,37,SCL_CONC_V1,1,> 2 μM,2,μM,2017
39,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CCS(=O)(=O)n1c(S(C)=O)c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c21,CYXYHIGQABVCPX-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,39,SCL_CONC_V1,1,> 2 μM,2,μM,2017
40,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CSc1c(C(C)=O)c(=O)c2c(Cl)ccc(Br)c2n1S(=O)(=O)c1ccc(C(C)(C)C)cc1,FJJRMRVVRIWOLC-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,40,SCL_CONC_V1,1,> 2 μM,2,μM,2017
41,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)(=O)=O)n(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c2c(Br)ccc(Cl)c2c1=O,RELRCEWWAVDFHC-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,41,SCL_CONC_V1,1,> 2 μM,2,μM,2017
42,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(C)=O)n(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c2c(Br)ccc(Cl)c2c1=O,FDZNKSRHZNKZNR-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,42,SCL_CONC_V1,1,> 2 μM,2,μM,2017
43,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2cc(Cl)ccc2Cl)[nH]c2c(Br)ccc(Cl)c2c1=O,JCTQDIFMDIKQHF-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,43,SCL_CONC_V1,1,> 2 μM,2,μM,2017
44,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2cc(Cl)ccc2Cl)[nH]c2c(Br)ccc(Cl)c2c1=O,VGTBZXNYUNEAKO-UHFFFAOYSA-N,1.27,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,44,SCL_CONC_V1,1,1.27 μM,1.27,μM,2017
45,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2cc(F)cc(F)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,WYSONGJBGAROQY-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,45,SCL_CONC_V1,1,> 2 μM,2,μM,2017
46,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2cc(F)cc(F)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,MECRNLNRUHOJMT-UHFFFAOYSA-N,1.8,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,46,SCL_CONC_V1,1,1.80 μM,1.8,μM,2017
47,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2cccc(I)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,QACWRDXPNXXFJS-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,47,SCL_CONC_V1,1,> 2 μM,2,μM,2017
48,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2cccc(I)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,SDFJQWOBKBDZDT-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,48,SCL_CONC_V1,1,> 2 μM,2,μM,2017
49,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2cccc(F)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,FWKBMHJIJSCWCN-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,49,SCL_CONC_V1,1,> 2 μM,2,μM,2017
50,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2cccc(F)c2)[nH]c2c(Br)ccc(Cl)c2c1=O,QUVGGBLPRFORMF-UHFFFAOYSA-N,1.69,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,50,SCL_CONC_V1,1,1.69 μM,1.69,μM,2017
51,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2cc(C)on2)[nH]c2c(Br)ccc(Cl)c2c1=O,FKYIYEQDUCUDGO-UHFFFAOYSA-N,1.26,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,51,SCL_CONC_V1,1,1.26 μM,1.26,μM,2017
52,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCc2ccccc2)nc2c(Br)ccc(Cl)c2c1O,MHEXFMXBGSLBGQ-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,52,SCL_CONC_V1,1,> 2 μM,2,μM,2017
53,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccccc2)nc2c(Br)ccc(Cl)c2c1O,NBHDQZYSCSOIIP-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,53,SCL_CONC_V1,1,> 2 μM,2,μM,2017
54,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)(=O)Cc2ccccc2)nc2c(Br)ccc(Cl)c2c1O,NUPDLHGYKKDUTR-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,54,SCL_CONC_V1,1,> 2 μM,2,μM,2017
55,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,COc1cccc(CS(=O)c2[nH]c3c(Br)ccc(Cl)c3c(=O)c2C(C)=O)c1,RQTXLDUPHXZDFX-UHFFFAOYSA-N,1.38,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,55,SCL_CONC_V1,1,1.38 μM,1.38,μM,2017
56,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(SC(F)(F)F)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,VFRKNEMBXBTJNX-UHFFFAOYSA-N,0.9,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,56,SCL_CONC_V1,1,0.90 μM,0.9,μM,2017
58,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccccc2C#N)[nH]c2c(Br)ccc(Cl)c2c1=O,GVXYXXRDYDSIPM-UHFFFAOYSA-N,0.92,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,58,SCL_CONC_V1,1,0.92 μM,0.92,μM,2017
59,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,COc1cc(CS(=O)c2[nH]c3c(Br)ccc(Cl)c3c(=O)c2C(C)=O)cc(OC)c1,SMZSYLDIUDJLGZ-UHFFFAOYSA-N,1.23,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,59,SCL_CONC_V1,1,1.23 μM,1.23,μM,2017
60,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(C(C)(C)C)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,JLDPVZDWUGRTJF-UHFFFAOYSA-N,1.56,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,60,SCL_CONC_V1,1,1.56 μM,1.56,μM,2017
61,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,COCSc1[nH]c2c(Br)ccc(Cl)c2c(=O)c1C(C)=O,VENJQZPPCCDBCK-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,61,SCL_CONC_V1,1,> 2 μM,2,μM,2017
62,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S)[nH]c2c(Br)ccc(Cl)c2c1=O,QUYALKNMPJZMGZ-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,62,SCL_CONC_V1,1,> 2 μM,2,μM,2017
63,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(C(=O)c3ccccc3)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,VCRIMDHBEBQSJD-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,63,SCL_CONC_V1,1,> 2 μM,2,μM,2017
64,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(S(=O)C(F)(F)F)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,GDMJICOAEDPJNG-UHFFFAOYSA-N,1.41,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,64,SCL_CONC_V1,1,1.41 μM,1.41,μM,2017
65,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)CC#N)[nH]c2c(Br)ccc(Cl)c2c1=O,WPXMAFJILSEDKS-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,65,SCL_CONC_V1,1,> 2 μM,2,μM,2017
66,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(SCC#N)[nH]c2c(Br)ccc(Cl)c2c1=O,DHSRMQGZOAVOBF-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,66,SCL_CONC_V1,1,> 2 μM,2,μM,2017
67,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S/C=C\C(=O)O)[nH]c2c(Br)ccc(Cl)c2c1=O,NROOEQWOAUINIG-PLNGDYQASA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,67,SCL_CONC_V1,1,> 2 μM,2,μM,2017
68,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(S(F)(F)(F)(F)F)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,OWEAMNMRDZVQJK-UHFFFAOYSA-N,1.25,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,68,SCL_CONC_V1,1,1.25 μM,1.25,μM,2017
69,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(S(F)(F)(F)(F)F)cc2F)[nH]c2c(Br)ccc(Cl)c2c1=O,DVBKACZOXGEGRY-UHFFFAOYSA-N,1.5,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,69,SCL_CONC_V1,1,1.50 μM,1.5,μM,2017
70,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(C(F)(F)F)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,BWVWSOUYXQNDBX-UHFFFAOYSA-N,1.75,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,70,SCL_CONC_V1,1,1.75 μM,1.75,μM,2017
71,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(OC(F)(F)F)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,XROACKBPOVVOCU-UHFFFAOYSA-N,1.6,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,71,SCL_CONC_V1,1,1.60 μM,1.6,μM,2017
72,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(C(F)(F)F)o2)[nH]c2c(Br)ccc(Cl)c2c1=O,TZJBCKFPTFMTAZ-UHFFFAOYSA-N,1.37,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,72,SCL_CONC_V1,1,1.37 μM,1.37,μM,2017
73,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2ccc(C#N)cc2)[nH]c2c(Br)ccc(Cl)c2c1=O,ASSSZANRALNQHT-UHFFFAOYSA-N,2,μM,gt,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,73,SCL_CONC_V1,1,> 2 μM,2,μM,2017
74,2017,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,CC(=O)c1c(S(=O)Cc2c(F)cccc2Cl)[nH]c2c(Br)ccc(Cl)c2c1=O,CTEOUZBDCZOBKU-UHFFFAOYSA-N,1.64,μM,,cytotoxicity,cell,raw/2017_raw.xlsx,표5~표14,74,SCL_CONC_V1,1,1.64 μM,1.64,μM,2017
