Unnamed_0,췌장암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
99.0,> 2 μM,1.49 μM,1.99 μM,0.72 μM,> 2 μM,> 10 μM,> 2 μM,,
100.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
101.0,> 2 μM,> 2 μM,> 2 μM,1.83 μM,> 2 μM,> 10 μM,> 2 μM,,
102.0,> 2 μM,1.54 μM,1.66 μM,0.69 μM,> 2 μM,> 10 μM,> 2 μM,,
103.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
104.0,> 2 μM,> 2 μM,1.59 μM,0.79 μM,> 2 μM,> 10 μM,> 2 μM,,
105.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
106.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,
107.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,,

--- Table Metadata for Table10 ---
Header Row (0-indexed in sheet): 556
Last Data Row (0-indexed in sheet): 664
Number of Data Rows (Length of Table): 108
