compound_id,assay_id,panel_id,cell_line,value_raw,value_num,unit,censor,assay_label,provenance_file,provenance_sheet,provenance_row,meas_kind,table_id,compound_name_raw
12,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,12,IC50,table14,
13,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,13,IC50,table14,
14,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,14,IC50,table14,
15,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.91 μM,1.91,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,15,IC50,table14,
16,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,16,IC50,table14,
17,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,17,IC50,table14,
18,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,18,IC50,table14,
19,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,19,IC50,table14,
20,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,20,IC50,table14,
21,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,21,IC50,table14,
22,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,22,IC50,table14,
23,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,23,IC50,table14,
24,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,24,IC50,table14,
25,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,25,IC50,table14,
26,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,26,IC50,table14,
27,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,27,IC50,table14,
28,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.46 μM,1.46,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,28,IC50,table14,
29,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.68 μM,1.68,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,29,IC50,table14,
30,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,30,IC50,table14,
31,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.45 μM,1.45,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,31,IC50,table14,
32,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,32,IC50,table14,
33,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.42 μM,1.42,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,33,IC50,table14,
34,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,34,IC50,table14,
35,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,35,IC50,table14,
36,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,36,IC50,table14,
37,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,37,IC50,table14,
38,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,38,IC50,table14,
39,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,39,IC50,table14,
40,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,40,IC50,table14,
41,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,41,IC50,table14,
42,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,42,IC50,table14,
43,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,43,IC50,table14,
44,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.27 μM,1.27,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,44,IC50,table14,
45,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,45,IC50,table14,
46,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.80 μM,1.8,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,46,IC50,table14,
47,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,47,IC50,table14,
48,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,48,IC50,table14,
49,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,49,IC50,table14,
50,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.69 μM,1.69,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,50,IC50,table14,
51,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.26 μM,1.26,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,51,IC50,table14,
52,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,52,IC50,table14,
53,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,53,IC50,table14,
54,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,54,IC50,table14,
55,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.38 μM,1.38,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,55,IC50,table14,
56,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,0.90 μM,0.9,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,56,IC50,table14,
57,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.83 μM,1.83,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,57,IC50,table14,
58,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,0.92 μM,0.92,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,58,IC50,table14,
59,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.23 μM,1.23,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,59,IC50,table14,
60,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.56 μM,1.56,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,60,IC50,table14,
61,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,61,IC50,table14,
62,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,62,IC50,table14,
63,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,63,IC50,table14,
64,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.41 μM,1.41,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,64,IC50,table14,
65,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,65,IC50,table14,
66,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,66,IC50,table14,
67,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,67,IC50,table14,
68,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.25 μM,1.25,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,68,IC50,table14,
69,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.50 μM,1.5,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,69,IC50,table14,
70,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.75 μM,1.75,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,70,IC50,table14,
71,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.60 μM,1.6,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,71,IC50,table14,
72,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.37 μM,1.37,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,72,IC50,table14,
73,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,73,IC50,table14,
74,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.64 μM,1.64,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,74,IC50,table14,
75,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.21 μM,1.21,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,75,IC50,table14,
76,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.86 μM,1.86,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,76,IC50,table14,
77,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.38 μM,1.38,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,77,IC50,table14,
78,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,78,IC50,table14,
79,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,79,IC50,table14,
80,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,80,IC50,table14,
81,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,81,IC50,table14,
82,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,82,IC50,table14,
83,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.60 μM,1.6,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,83,IC50,table14,
84,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.50 μM,1.5,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,84,IC50,table14,
85,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,85,IC50,table14,
86,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.41 μM,1.41,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,86,IC50,table14,
87,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,87,IC50,table14,
88,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,88,IC50,table14,
89,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,89,IC50,table14,
90,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,90,IC50,table14,
91,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,91,IC50,table14,
92,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,92,IC50,table14,
93,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,93,IC50,table14,
94,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,94,IC50,table14,
95,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.29 μM,1.29,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,95,IC50,table14,
96,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,96,IC50,table14,
97,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.62 μM,1.62,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,97,IC50,table14,
98,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.90 μM,1.9,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,98,IC50,table14,
99,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.12 μM,1.12,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,99,IC50,table14,
100,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,100,IC50,table14,
101,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,101,IC50,table14,
102,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.58 μM,1.58,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,102,IC50,table14,
103,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,103,IC50,table14,
104,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,1.50 μM,1.5,μM,,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,104,IC50,table14,
105,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,105,IC50,table14,
106,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,106,IC50,table14,
107,assay.cell.cytotoxicity.ic50.um.blca.ku-19-19,blca,KU-19-19,> 2 μM,2,μM,gt,KU-19-19,raw/2017_1020170094694_raw.xlsx,표5~표14,107,IC50,table14,
1,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,1.35 μM,1.35,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,1,IC50,table14,
2,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,2,IC50,table14,
3,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,3,IC50,table14,
4,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,1.00 μM,1,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,4,IC50,table14,
5,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,5,IC50,table14,
6,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,1.22 μM,1.22,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,6,IC50,table14,
7,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,7,IC50,table14,
8,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,8,IC50,table14,
9,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,1.10 μM,1.1,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,9,IC50,table14,
10,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,10,IC50,table14,
11,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,1.41 μM,1.41,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,11,IC50,table14,
12,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,12,IC50,table14,
13,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,13,IC50,table14,
14,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,14,IC50,table14,
15,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,15,IC50,table14,
16,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,16,IC50,table14,
17,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,17,IC50,table14,
18,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,18,IC50,table14,
19,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,19,IC50,table14,
20,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,20,IC50,table14,
21,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,21,IC50,table14,
22,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,22,IC50,table14,
23,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,23,IC50,table14,
24,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,24,IC50,table14,
25,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,25,IC50,table14,
26,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,26,IC50,table14,
27,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,27,IC50,table14,
28,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,0.74 μM,0.74,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,28,IC50,table14,
29,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,0.96 μM,0.96,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,29,IC50,table14,
30,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,30,IC50,table14,
31,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,0.89 μM,0.89,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,31,IC50,table14,
32,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,32,IC50,table14,
33,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,1.39 μM,1.39,μM,,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,33,IC50,table14,
34,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,34,IC50,table14,
35,assay.cell.cytotoxicity.ic50.um.blca.253j,blca,253J,> 2 μM,2,μM,gt,253J,raw/2017_1020170094694_raw.xlsx,표5~표14,35,IC50,table14,
