compound_id,iupac_name,smiles_raw,KRAS-SOS1 Interaction,KRAS-Activation by SOS high GTP,KRAS-Activation by SOS no GTP,EGFR kinase inhibition IC50,provenance_file,provenance_sheet,provenance_row
32,6-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,CS(=O)(C)=NC=1C=C2C(=NC(=NC2=CC1)C)N[C@H](C)C1=CC=C(C=C1)F,1.07e-06,1.48e-06,2.59e-06,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,33
33,"6,7-dimethoxy-N-[1-(7-methoxy-1-benzofuran-2-yl)ethyl]-2-methylquinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1OC2=C(C1)C=CC=C2OC,0.53,0.24,0.09,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,34
34,"6-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2H-1,4-benzoxazin-3(4H)-one",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1C=CC2=C(NC(CO2)=O)C1,4.23e-06,3.76e-06,1.68e-05,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,35
35,"6,7-dimethoxy-N-[1-(6-methoxy-2-naphthyl)ethyl]-2-methylquinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC2=CC=C(C=C2C=C1)OC,4.72e-06,4.78e-06,0.48,>2.00E-5,data/bronze/artifacts/2018_raw.xlsx,Sheet1,36
36,"N-[(1R)-1-(5'-amino-2'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",NC=1C=CC(=C(C1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C)C,5.42e-07,1e-06,6.96e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,37
37,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(pyrimidin-5-yl)phenyl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=NC=NC1,1.54e-06,1.85e-06,2.69e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,38
38,"N-{(1R)-1-[3'-(cyclopropylmethoxy)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",C1(CC1)COC=1C=C(C=CC1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,,,,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,39
39,"N-{(1R)-1-[3-(isoquinolin-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",C1=NC=CC2=C(C=CC=C12)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.46e-06,1.83e-06,3.05e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,40
40,"N-[(1R)-1-(2'-chloro-6'-fluoro-3'-methylbiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",ClC1=C(C(=CC=C1C)F)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,3.85e-06,1.75e-06,4.55e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,41
41,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(5-methylpyridin-3-yl)phenyl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=NC=C(C1)C,9.72e-07,1.4e-06,1.87e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,42
42,"6,7-dimethoxy-2-methyl-N-{1-[5-(pyrimidin-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C=1C=NC=NC1,4.27e-06,5.58e-06,0.48,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,43
43,"6,7-dimethoxy-2-methyl-N-[1-{5-[4-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=CC=C(C=C1)N1CCOCC1,0.3,0.14,0.16,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,44
44,"6,7-dimethoxy-2-methyl-N-[1-{5-[3-(morpholin-4-yl)phenyl]thiophen-2-yl}ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=CC(=CC=C1)N1CCOCC1,0.55,0.47,0.25,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,45
45,"N-{1-[5-(isoquinolin-5-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",C1=NC=CC2=C(C=CC=C12)C1=CC=C(S1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.51e-06,2.17e-06,1.1e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,46
46,"6,7-dimethoxy-2-methyl-N-(1-[5-(5-methylpyridin-3-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C=1C=NC=C(C1)C,2.37e-06,3.82e-06,4.1e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,47
47,"6,7-dimethoxy-2-methyl-N-{1-[5-(2-propoxyphenyl)thiophen-2-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=C(C=CC=C1)OCCC,0.4,0.22,0.17,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,48
48,"2-(5-(1-[(6J-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=C(S1)C1=C(C(=O)N(C)C)C=CC=C1,2.12e-06,3.27e-06,4.52e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,49
49,"6,7-dimethoxy-2-methyl-N-{1-[5-(1-methyl-1H-indol-5-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C=1C=C2C=CN(C2=CC1)C,1.96e-05,0.35,0.36,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,50
50,"6,7-dimethoxy-N-[1-{5-[2-(methoxymethyl)phenyl]thiophen-2-yl}ethyl]-2-methylquinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=C(C=CC=C1)COC,9.85e-06,2e-05,0.23,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,51
51,"3-(5-(1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}thiophen-2-yl)-N,N-dimethylbenzamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=C(S1)C=1C=C(C(=O)N(C)C)C=CC1,5.63e-06,5.9e-06,0.52,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,52
52,"(5'-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-2,2'-bithiophen-5-yl)methanol",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C1=CC=C(S1)C=1SC(=CC1)CO,4.29e-06,5.46e-06,0.43,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,53
53,"6,7-dimethoxy-2-methyl-N-(1-[5-(3-methylpyridin-4-yl)thiophen-2-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=C(C=NC=C1)C,6.69e-07,1.28e-06,1.08e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,54
54,"N-{1-[5-(1H-indol-6-yl)thiophen-2-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",N1C=CC2=CC=C(C=C12)C1=CC=C(S1)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,4.19e-06,4.13e-06,4.97e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,55
55,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)C=1OC(=NN1)C,6.74e-07,6.29e-07,7.24e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,56
56,"6,7-dimethoxy-2-methyl-N-[(1R)-1-{3-[5-(methylsulfonyl)pyridin-3-yl]phenyl}ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=NC=C(C1)S(=O)(=O)C,1.47e-06,1.79e-06,2.56e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,57
57,"5-(3-((1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)-1,3-dihydro-2H-indol-2-one",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C=1C=C2CC(NC2=CC1)=O,4.14e-07,4.01e-07,8.29e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,58
58,"N-{(1R)-1-[3-(2,2-dimethylcyclopropyl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",CC1(C(C1)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C)C,1.77e-06,1.64e-06,3.11e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,59
59,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-yl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C=1OC(=NN1)C,1.59e-06,7.7e-07,9.65e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,60
60,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrrolo[2,3-b]pyridin-5-yl)phenyl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1C=C2C(=NC1)NC=C2,5.85e-07,4.48e-07,1.94e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,61
61,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-sulfonamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)S(=O)(=O)N,3.74e-07,7.17e-07,8.95e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,62
62,"N-{(1R)-1-[3-(2-aminopyrimidin-5-yl)phenyl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",NC1=NC=C(C=N1)C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.28e-06,2.77e-06,2.83e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,63
63,"N-[(1R)-1-{3-[(E)-2-cyclopropylethenyl]phenyl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",C1(CC1)/C=C/C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.13e-06,1.87e-06,1.88e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,64
64,"N-{(1R)-1-[2'-(ethoxymethyl)biphenyl-3-yl]ethyl}-6,7-dimethoxy-2-methylquinazolin-4-amine",C(C)OCC1=C(C=CC=C1)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,1.4e-06,1.98e-06,2.21e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,65
65,"N-[(1R)-1-(3'-fluoro-5'-methoxybiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",FC=1C=C(C=C(C1)OC)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,5.78e-06,8.34e-06,1.35e-05,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,66
66,"6,7-dimethoxy-N-{(1R)-1-[3-(5-methoxy-1-benzofuran-2-yl)phenyl]ethyl}-2-methylquinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C=1OC2=C(C1)C=C(C=C2)OC,3.48e-06,4.55e-06,8.8e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,67
67,"N-[(1R)-1-(2'-butoxy-6'-fluorobiphenyl-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",C(CCC)OC1=C(C(=CC=C1)F)C1=CC(=CC=C1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,9.98e-06,1.98e-05,0.54,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,68
68,"5-(3-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}phenyl)pyridin-2-ol",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C=1C=CC(=NC1)O,1.37e-07,4.86e-07,4.71e-07,6.92e-06,data/bronze/artifacts/2018_raw.xlsx,Sheet1,69
69,"2-(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)-2-methylpropanenitrile",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C(C#N)(C)C,3.92e-06,5.41e-06,9.97e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,70
70,"6,7-dimethoxy-2-methyl-N-[1-(5-phenylthiophen-2-yl)ethyl]quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)NC(C)C=1SC(=CC1)C1=CC=CC=C1,6.82e-06,8.82e-06,0.47,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,71
71,"N-[(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-3-yl)methyl]methanesulfonamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC(=CC=C1)CNS(=O)(=O)C,3.93e-07,8.43e-07,6.8e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,72
72,"N-[(3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}biphenyl-4-yl)methyl]methanesulfonamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)CNS(=O)(=O)C,7.37e-07,8.68e-07,8.82e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,73
73,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-propylbiphenyl-4-carboxamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C(=O)NCCC,4.27e-07,5.54e-07,4.95e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,74
74,"3'-{(1R)-1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-N-[2-(dimethylamino)ethyl]biphenyl-4-carboxamide",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C=1C=C(C=CC1)C1=CC=C(C=C1)C(=O)NCCN(C)C,1.49e-07,2.23e-07,2.61e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,75
75,"6,7-dimethoxy-2-methyl-N-{(1R)-1-[3-(1H-pyrazol-3-yl)phenyl]ethyl}quinazolin-4-amine",COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC(=CC=C1)C1=NNC=C1,5.88e-07,1.15e-06,1.01e-06,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,76
76,"N-[(1R)-1-{3-[(2E)-but-2-en-2-yl]phenyl}ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",C/C(=C\C)/C=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C,4.71e-07,1.19e-06,9.52e-07,,data/bronze/artifacts/2018_raw.xlsx,Sheet1,77
